mean_count turtles with [standing?],mean_count turtles with [feeling-awkward? = true],min_count turtles with [standing?],min_count turtles with [feeling-awkward? = true],last_count turtles with [standing?],last_count turtles with [feeling-awkward? = true],sd_count turtles with [standing?],sd_count turtles with [feeling-awkward? = true],trend_count turtles with [standing?],trend_count turtles with [feeling-awkward? = true],max_count turtles with [standing?],max_count turtles with [feeling-awkward? = true],snap_10_count turtles with [standing?],snap_10_count turtles with [feeling-awkward? = true],snap_20_count turtles with [standing?],snap_20_count turtles with [feeling-awkward? = true],snap_30_count turtles with [standing?],snap_30_count turtles with [feeling-awkward? = true],snap_40_count turtles with [standing?],snap_40_count turtles with [feeling-awkward? = true]
156.12,36.56,19.0,13.0,125.0,31.0,77.57825468518868,19.129202806180917,-2.2255942376950806,-0.45378151260504335,347.0,148.0,91.0,29.0,191.0,40.0,194.0,35.0,57.0,36.0
271.66,18.06,13.0,3.0,396.0,4.0,154.8460667889243,24.369989741483277,9.18852340936375,-0.8430732292917185,397.0,168.0,25.0,12.0,334.0,24.0,391.0,9.0,391.0,9.0
252.18,43.08,51.0,20.0,318.0,34.0,75.85135199849769,13.992626629764695,3.417286914765906,-0.2609363745498209,358.0,124.0,260.0,43.0,273.0,31.0,333.0,27.0,209.0,34.0
211.9,60.42,48.0,34.0,121.0,71.0,88.05708375820764,18.718002030131316,1.3515006002400958,-0.43279711884753963,361.0,163.0,263.0,67.0,80.0,54.0,285.0,50.0,324.0,46.0
166.44,40.96,21.0,20.0,234.0,47.0,84.50897230472039,6.627095894884879,4.945690276110446,0.15846338535414148,341.0,56.0,112.0,39.0,92.0,56.0,203.0,40.0,291.0,46.0
193.42,40.42,90.0,21.0,161.0,34.0,79.2505116702725,14.893072214959542,-3.0874909963985613,0.18953181272508907,372.0,127.0,251.0,29.0,90.0,28.0,130.0,37.0,186.0,48.0
215.32,50.56,151.0,34.0,206.0,45.0,40.50898172010746,17.295271029966543,-1.24888355342137,-0.4677070828331345,309.0,154.0,194.0,47.0,292.0,45.0,212.0,43.0,160.0,46.0
68.04,11.92,1.0,1.0,293.0,19.0,90.9898807560489,19.289209418739787,4.889123649459786,-0.056662665066027545,293.0,140.0,3.0,3.0,1.0,1.0,14.0,7.0,204.0,22.0
44.06,17.04,0.0,0.0,5.0,5.0,52.88871713324118,21.408372194073984,-0.10607442977191,-0.4484993997599049,193.0,146.0,46.0,22.0,3.0,3.0,193.0,29.0,5.0,5.0
262.38,36.82,190.0,17.0,212.0,30.0,49.78549587982429,16.826990224041854,-3.055222088835539,-0.3352220888355351,344.0,141.0,332.0,21.0,292.0,42.0,201.0,26.0,198.0,35.0
252.42,15.64,181.0,4.0,181.0,20.0,29.59735799019906,19.737031185059223,-1.2194477791116447,-0.3224009603841549,315.0,144.0,238.0,13.0,260.0,10.0,291.0,9.0,225.0,12.0
257.38,39.48,44.0,18.0,210.0,34.0,83.18386622416635,16.961415035308818,-0.8931092436974778,-0.02765906362545137,382.0,122.0,352.0,29.0,256.0,44.0,263.0,33.0,166.0,34.0
245.64,61.72,145.0,39.0,145.0,61.0,71.57422999935103,11.506589416503918,-4.6430732292917245,0.4185354141656655,357.0,84.0,343.0,56.0,256.0,68.0,162.0,64.0,175.0,66.0
284.62,16.48,98.0,2.0,173.0,7.0,83.62532869890556,22.707038556359564,0.7128451380552216,-0.4942136854741912,398.0,162.0,272.0,8.0,344.0,17.0,389.0,6.0,241.0,14.0
120.02,41.44,22.0,17.0,133.0,41.0,68.7649590998206,19.269831343320053,2.531812725090036,-0.07404561824730019,282.0,154.0,115.0,56.0,36.0,26.0,81.0,44.0,274.0,44.0
200.38,14.76,70.0,5.0,281.0,14.0,99.99697795433619,13.152277369337977,-3.3200960384153713,-0.1986074429771915,387.0,102.0,313.0,9.0,85.0,7.0,104.0,17.0,155.0,10.0
271.84,16.38,172.0,5.0,335.0,9.0,64.1969968144928,22.277243994713526,3.924513805522209,-0.6973829531812744,388.0,159.0,173.0,10.0,238.0,9.0,304.0,9.0,368.0,12.0
211.74,52.96,35.0,31.0,253.0,72.0,110.74399487105386,11.840540528202249,3.7089555822328943,0.22569027611044382,367.0,76.0,246.0,57.0,65.0,53.0,303.0,68.0,288.0,59.0
245.62,20.54,7.0,5.0,35.0,20.0,135.10468385663023,12.93709395498077,2.9756062424970002,-0.008787515006002996,395.0,97.0,134.0,21.0,387.0,13.0,366.0,15.0,312.0,16.0
207.32,50.14,91.0,26.0,119.0,65.0,93.89578052287546,13.961389615650727,-4.024393757503004,-0.07236494597839198,368.0,114.0,341.0,47.0,304.0,44.0,121.0,60.0,144.0,42.0
210.32,63.6,103.0,38.0,103.0,53.0,70.86986383506039,12.809371569284734,-2.886050420168072,-0.2122448979591838,356.0,96.0,236.0,78.0,150.0,60.0,159.0,86.0,210.0,43.0
242.12,40.12,176.0,22.0,200.0,33.0,29.476526253953327,23.359486295721485,1.218823529411763,-0.7817527010804339,307.0,185.0,241.0,36.0,231.0,39.0,230.0,30.0,285.0,37.0
222.34,46.98,35.0,24.0,210.0,62.0,104.12312135159988,14.726153605066058,5.693589435774311,-0.054693877551021085,376.0,120.0,108.0,42.0,236.0,36.0,332.0,46.0,332.0,40.0
389.7,8.44,257.0,0.0,396.0,4.0,20.809853435332023,20.291042358636982,0.4877310924369729,-0.43687875150060135,400.0,147.0,395.0,5.0,391.0,9.0,397.0,3.0,395.0,5.0
200.44,44.92,26.0,20.0,51.0,36.0,133.45788249481558,18.93022979258308,-8.202641056422573,-0.21339735894357734,381.0,112.0,338.0,42.0,297.0,49.0,40.0,35.0,39.0,29.0
267.74,17.9,18.0,1.0,88.0,26.0,135.7093673996014,23.758998295382735,-6.167731092436981,-0.4117647058823545,399.0,169.0,371.0,8.0,396.0,4.0,354.0,21.0,85.0,18.0
169.88,28.02,48.0,6.0,120.0,23.0,64.65930404821876,20.120129224237104,-2.961344537815128,-0.6021128451380563,334.0,149.0,239.0,24.0,154.0,41.0,112.0,27.0,141.0,23.0
116.52,21.5,4.0,4.0,57.0,24.0,108.12201255988535,17.47483905505284,-6.100936374549823,-0.37651860744297827,355.0,131.0,215.0,29.0,80.0,23.0,23.0,17.0,29.0,15.0
256.4,42.08,107.0,16.0,121.0,39.0,78.8423743934694,12.60133326279406,-4.035342136854747,0.2569027611044415,382.0,77.0,266.0,41.0,265.0,54.0,162.0,54.0,235.0,45.0
380.54,11.68,236.0,1.0,365.0,15.0,31.22960774649594,19.892149205151263,0.6612725090035987,-0.4053781512605054,399.0,135.0,398.0,2.0,399.0,1.0,393.0,7.0,382.0,11.0
39.98,15.18,1.0,1.0,51.0,14.0,50.54047486915809,20.2273972621294,0.4162785114045612,-0.16859543817527103,196.0,134.0,6.0,6.0,17.0,8.0,147.0,44.0,3.0,3.0
344.02,18.24,173.0,0.0,173.0,25.0,61.7898017475376,25.806634805801398,-1.2311644657863132,-0.5237935174069644,400.0,173.0,395.0,5.0,394.0,5.0,393.0,7.0,350.0,18.0
339.92,28.1,229.0,13.0,339.0,27.0,45.50904964949279,11.3194522835692,1.103961584633853,-0.453253301320529,387.0,82.0,354.0,34.0,229.0,42.0,379.0,21.0,386.0,14.0
159.52,54.26,26.0,25.0,93.0,55.0,110.87889609840094,15.03836427275254,-1.8864825930372169,0.1426650660264101,358.0,97.0,105.0,78.0,106.0,61.0,39.0,34.0,335.0,45.0
225.84,72.94,198.0,53.0,252.0,69.0,14.698789065770013,19.330193997991845,0.1621128451380559,-0.3878511404561835,264.0,191.0,210.0,63.0,220.0,71.0,264.0,54.0,210.0,72.0
175.26,53.84,36.0,25.0,202.0,42.0,73.20814435566578,22.802070081464095,3.760144057623049,-0.42756302521008543,285.0,187.0,47.0,39.0,119.0,47.0,214.0,46.0,264.0,32.0
137.82,23.22,18.0,13.0,237.0,28.0,64.44088453769082,7.214679480060079,0.7113085234093642,0.16715486194477755,240.0,59.0,141.0,20.0,240.0,19.0,158.0,25.0,71.0,31.0
196.62,36.58,66.0,17.0,66.0,29.0,52.187312634394196,25.2048328699081,-0.6626170468187297,-0.8446098439375764,281.0,194.0,241.0,34.0,151.0,23.0,256.0,26.0,224.0,33.0
184.44,40.48,22.0,21.0,119.0,27.0,104.24435908000011,12.453497500702362,4.504393757503004,0.25632653061224464,298.0,65.0,25.0,23.0,263.0,45.0,279.0,39.0,282.0,37.0
196.5,49.44,21.0,21.0,229.0,45.0,119.71303187205643,17.20716129987744,-2.3774789915966403,-0.25815126050420284,342.0,124.0,250.0,59.0,115.0,65.0,44.0,35.0,267.0,83.0
259.92,28.38,71.0,12.0,108.0,26.0,87.01030743538377,14.022681626564868,-2.9998559423769513,0.3270588235294113,376.0,83.0,333.0,19.0,247.0,28.0,141.0,28.0,365.0,25.0
193.74,42.7,25.0,21.0,224.0,50.0,125.38593382034527,11.631422956801115,-2.0166626650660278,0.06391356542617023,377.0,69.0,269.0,49.0,347.0,37.0,233.0,50.0,33.0,31.0
208.42,42.18,102.0,18.0,194.0,33.0,56.09994295897278,22.535030508077863,0.49973589435774146,-0.8448019207683083,307.0,166.0,114.0,51.0,307.0,42.0,251.0,35.0,159.0,33.0
255.06,52.42,85.0,28.0,85.0,49.0,79.73115075050656,14.292781394816059,-4.102040816326536,0.3478991596638653,370.0,89.0,331.0,53.0,336.0,43.0,322.0,58.0,217.0,59.0
295.92,29.62,111.0,6.0,111.0,27.0,91.08498010100239,16.501987759054966,-4.312989195678273,0.16513805522208833,394.0,78.0,391.0,7.0,282.0,57.0,245.0,61.0,331.0,25.0
152.36,59.18,66.0,31.0,91.0,60.0,60.91330232387667,20.078535803190427,-2.2981032412965208,-0.6214165666266522,282.0,175.0,208.0,57.0,203.0,72.0,186.0,55.0,66.0,49.0
202.28,40.56,93.0,21.0,162.0,44.0,61.36873471076293,16.823982881589007,-1.3478031212485002,-0.35879951980792446,319.0,145.0,301.0,38.0,210.0,59.0,224.0,36.0,109.0,40.0
204.74,55.18,60.0,37.0,176.0,48.0,64.2404265241133,19.145432875753944,-0.9885714285714274,-0.373541416566628,321.0,173.0,244.0,47.0,114.0,55.0,200.0,53.0,218.0,50.0
201.26,67.26,69.0,44.0,90.0,58.0,66.99815221332601,20.876599339930824,-2.6785594237695114,-0.45968787515006126,316.0,190.0,204.0,64.0,309.0,48.0,218.0,77.0,129.0,62.0
162.98,41.32,30.0,24.0,130.0,52.0,78.00627923443086,16.034263313292573,-1.9722929171668706,-0.246530612244899,332.0,137.0,301.0,35.0,30.0,27.0,128.0,29.0,216.0,39.0
158.76,44.1,44.0,28.0,181.0,50.0,54.58994779261105,8.572630868059116,1.5343097238895558,0.22650660264105615,257.0,62.0,125.0,36.0,256.0,28.0,116.0,50.0,184.0,56.0
183.78,48.4,124.0,34.0,205.0,47.0,39.71059808162048,21.122499852053497,-0.46765906362545295,-0.530324129651862,270.0,183.0,176.0,39.0,246.0,37.0,187.0,39.0,143.0,48.0
211.5,22.9,10.0,8.0,313.0,34.0,134.37920225987352,7.083078426785912,8.943337334933977,-0.13344537815126087,389.0,41.0,62.0,32.0,148.0,36.0,277.0,16.0,385.0,15.0
55.04,18.62,1.0,1.0,30.0,15.0,58.76017699088388,25.97682813585985,-2.8363985594237713,-0.9854981992797136,198.0,175.0,154.0,23.0,65.0,16.0,5.0,5.0,8.0,8.0
251.68,53.0,68.0,30.0,195.0,60.0,83.54793594099138,18.404347312523747,-0.8592557022809141,0.13282112845137928,370.0,134.0,302.0,49.0,92.0,57.0,171.0,44.0,335.0,43.0
218.02,39.26,43.0,22.0,236.0,39.0,106.75551320657871,11.299221212101305,-5.266506602641058,-0.07572629051620725,374.0,103.0,323.0,42.0,278.0,45.0,61.0,44.0,140.0,37.0
245.86,39.26,25.0,14.0,238.0,65.0,112.06373365188223,16.778331263865304,4.3258103241296535,0.14698679471788645,384.0,118.0,113.0,35.0,384.0,14.0,346.0,31.0,292.0,49.0
368.7,9.1,290.0,0.0,380.0,6.0,28.289397307118442,17.161876354291795,1.4086434573829514,-0.5299879951980803,400.0,124.0,346.0,12.0,338.0,9.0,397.0,3.0,399.0,1.0
190.22,28.6,13.0,12.0,206.0,21.0,124.85356062203431,13.449163542763545,-5.715774309723894,0.13272509003601418,388.0,67.0,369.0,21.0,104.0,25.0,37.0,38.0,173.0,38.0
178.82,23.88,43.0,12.0,195.0,17.0,86.27970560914078,16.468928319717712,-1.4257382953181286,-0.4090276110444187,367.0,131.0,206.0,27.0,71.0,19.0,156.0,22.0,196.0,24.0
306.98,9.2,179.0,1.0,251.0,13.0,82.06984586314269,13.175735273600486,-4.5949099639856,-0.1092917166866755,399.0,94.0,398.0,2.0,376.0,9.0,184.0,14.0,235.0,8.0
237.52,37.94,76.0,15.0,234.0,30.0,81.47496302545954,25.308030346117413,2.8636734693877557,-1.0947899159663883,376.0,175.0,264.0,50.0,98.0,40.0,367.0,15.0,280.0,18.0
317.84,31.26,258.0,16.0,258.0,39.0,31.431423766670193,10.525796881946754,-1.272220888355342,0.1616806722689073,380.0,81.0,322.0,30.0,335.0,32.0,308.0,42.0,305.0,36.0
272.04,40.96,185.0,21.0,185.0,51.0,47.40209278080452,22.868283713475304,0.3027130852340931,-0.540888355342138,363.0,183.0,230.0,30.0,258.0,38.0,227.0,48.0,299.0,43.0
230.44,44.6,50.0,22.0,370.0,28.0,106.3763432347625,15.884583721331822,-2.6065786314525847,0.1862184873949571,379.0,115.0,379.0,22.0,60.0,36.0,244.0,45.0,190.0,52.0
97.94,33.1,28.0,19.0,157.0,40.0,45.41471567674952,12.275585525749886,0.5982713085234087,-0.09503001200480272,179.0,109.0,81.0,33.0,167.0,34.0,65.0,31.0,82.0,35.0
190.9,69.86,130.0,52.0,227.0,65.0,32.85985392542091,15.547359904498256,1.1627851140456165,-0.2730852340936391,242.0,162.0,162.0,77.0,232.0,58.0,225.0,58.0,161.0,70.0
183.22,49.52,17.0,13.0,260.0,53.0,76.2795621382294,13.443570954177314,3.1283073229291727,0.07318127250900323,303.0,77.0,246.0,50.0,98.0,68.0,268.0,30.0,167.0,53.0
196.36,50.0,32.0,26.0,235.0,94.0,85.97784830989899,22.3678340480253,-3.5213445378151285,-0.277743097238897,358.0,157.0,290.0,32.0,207.0,43.0,217.0,35.0,56.0,32.0
198.4,52.46,38.0,26.0,279.0,63.0,70.42045157480885,13.993155469728766,2.402785114045618,0.11836734693877475,337.0,105.0,158.0,75.0,254.0,80.0,219.0,46.0,189.0,67.0
248.92,23.42,116.0,6.0,239.0,9.0,75.1616497956238,25.751186380436923,3.3937094837935176,-0.6647298919567844,375.0,187.0,116.0,15.0,227.0,16.0,343.0,29.0,331.0,20.0
160.34,53.98,44.0,31.0,262.0,36.0,54.41162008247871,10.538481864101678,3.5031452581032414,0.24542617046818727,262.0,80.0,100.0,51.0,189.0,49.0,168.0,60.0,203.0,48.0
200.04,28.04,30.0,16.0,31.0,21.0,116.11149124871318,7.647117103850314,-7.252629051620648,-0.16278511404561866,382.0,56.0,264.0,37.0,307.0,20.0,108.0,35.0,71.0,18.0
201.2,37.22,23.0,15.0,160.0,40.0,118.70568646867763,13.520784000937224,-6.249123649459788,0.10309723889555812,385.0,94.0,346.0,34.0,170.0,53.0,72.0,34.0,185.0,29.0
253.76,53.74,126.0,37.0,317.0,49.0,56.637288070669484,9.933398210078966,-1.3884273709483803,-0.02146458583433452,354.0,102.0,268.0,53.0,191.0,45.0,282.0,65.0,208.0,50.0
278.86,15.3,45.0,1.0,397.0,3.0,104.1725510871266,17.463390277950047,6.424345738295319,-0.6221848739495811,399.0,127.0,188.0,22.0,328.0,9.0,272.0,18.0,384.0,8.0
208.88,52.24,49.0,37.0,104.0,51.0,80.297108291644,6.944235019064376,0.9599039615846336,0.07673469387755061,322.0,72.0,176.0,72.0,273.0,53.0,273.0,45.0,211.0,55.0
204.3,56.16,28.0,24.0,50.0,38.0,108.83221030558923,21.24463226323299,0.9199039615846332,-0.4180552220888367,371.0,153.0,217.0,56.0,221.0,65.0,269.0,65.0,287.0,67.0
135.22,51.3,25.0,25.0,87.0,46.0,93.86805420375988,18.144145061148517,-2.66357743097239,-0.4713085234093645,351.0,147.0,220.0,75.0,227.0,62.0,72.0,40.0,38.0,35.0
163.72,39.48,32.0,25.0,128.0,44.0,84.72332382526078,15.610560528052797,-4.626938775510208,-0.3396878751500614,305.0,138.0,305.0,41.0,66.0,35.0,193.0,32.0,70.0,35.0
114.46,50.02,38.0,34.0,201.0,69.0,74.10268821034768,8.893795590185329,4.334069627851142,0.36729891956782695,253.0,69.0,63.0,44.0,80.0,54.0,72.0,58.0,241.0,60.0
367.62,12.0,228.0,1.0,262.0,20.0,42.65390486227491,18.955737917580525,-0.7249459783913557,-0.24019207683073351,399.0,138.0,355.0,20.0,397.0,3.0,386.0,9.0,390.0,8.0
167.04,39.26,14.0,12.0,21.0,21.0,112.48536971535455,20.632799131479956,-4.182184873949584,-0.8666026410564234,365.0,147.0,161.0,59.0,315.0,41.0,181.0,43.0,36.0,28.0
141.94,17.38,3.0,3.0,6.0,6.0,114.66183497572327,12.626781062487776,-7.723457382953185,-0.5378631452581041,374.0,87.0,220.0,26.0,140.0,20.0,113.0,19.0,10.0,9.0
253.84,54.26,196.0,32.0,196.0,51.0,32.51852395174172,18.78383347455998,-1.6042256902761125,-0.20460984393757675,305.0,167.0,289.0,39.0,293.0,42.0,251.0,41.0,215.0,54.0
174.04,53.2,43.0,23.0,211.0,47.0,72.6448786907928,10.184301645179213,1.9326770708283316,0.043697478991596206,297.0,95.0,138.0,57.0,245.0,54.0,228.0,50.0,119.0,54.0
152.34,38.4,25.0,22.0,168.0,34.0,89.86336517179845,9.832598842625483,-3.4741416566626686,-0.17114045618247334,368.0,73.0,140.0,43.0,169.0,43.0,40.0,34.0,143.0,44.0
242.42,36.04,18.0,13.0,19.0,18.0,95.39540659801185,12.707415158087818,-4.976566626650663,-0.11735894357743168,375.0,100.0,310.0,33.0,239.0,32.0,193.0,32.0,247.0,42.0
150.28,47.46,46.0,33.0,112.0,36.0,41.180111704559515,15.844506934581462,1.2541656662665062,-0.28038415366146574,219.0,145.0,128.0,40.0,183.0,36.0,217.0,53.0,168.0,37.0
146.06,51.64,54.0,35.0,54.0,41.0,69.94809790122957,14.423258993722605,-1.8787515006002438,-0.2364465786314535,328.0,139.0,85.0,59.0,93.0,41.0,109.0,59.0,212.0,52.0
186.2,47.08,36.0,26.0,169.0,73.0,107.08557325802575,13.428089960973601,3.7822809123649472,0.2686194477791111,364.0,75.0,39.0,27.0,259.0,58.0,332.0,55.0,126.0,66.0
134.56,48.48,28.0,26.0,157.0,49.0,76.77764257907376,15.568224047719765,-1.9734933973589444,-0.49450180072028965,328.0,116.0,191.0,58.0,187.0,34.0,62.0,48.0,105.0,62.0
168.88,57.44,42.0,34.0,139.0,62.0,101.93736115870374,15.271096882673492,-3.9846338535414207,-0.024681872749100314,360.0,99.0,43.0,39.0,310.0,58.0,79.0,63.0,72.0,44.0
243.2,57.1,97.0,35.0,130.0,52.0,78.65723107254665,18.78217239831431,-4.650756302521007,-0.5032893157262923,340.0,161.0,332.0,44.0,298.0,66.0,264.0,55.0,113.0,41.0
249.6,48.52,53.0,22.0,295.0,38.0,74.80641683706015,24.53425360592818,0.9380072028811525,-0.5314765906362554,375.0,182.0,231.0,51.0,369.0,31.0,333.0,37.0,152.0,49.0
126.38,46.44,56.0,29.0,75.0,46.0,47.01441906479331,15.807795545236536,-1.470780312124851,-0.4724129651860758,206.0,140.0,206.0,62.0,89.0,51.0,206.0,38.0,59.0,42.0
178.38,43.38,63.0,24.0,243.0,42.0,62.96821102747004,17.36535631652861,2.894453781512606,-0.0860984393757516,273.0,149.0,110.0,36.0,230.0,43.0,236.0,45.0,171.0,42.0
63.74,12.66,0.0,0.0,191.0,14.0,58.96297482318883,17.23207474449899,2.1195198079231696,-0.08331332533013315,191.0,125.0,1.0,1.0,106.0,11.0,101.0,10.0,28.0,14.0
199.08,38.62,57.0,20.0,246.0,46.0,67.74860588971553,14.424825822171996,4.3149099639855955,-0.1511164465786323,302.0,132.0,149.0,38.0,191.0,37.0,208.0,37.0,262.0,29.0
382.36,8.68,242.0,1.0,242.0,21.0,27.41369001064979,7.8700444725554135,-0.7455462184873949,0.103145258103241,399.0,44.0,395.0,5.0,385.0,8.0,386.0,7.0,391.0,6.0
186.2,51.76,32.0,25.0,201.0,73.0,91.97238716049507,23.44317384655926,-0.5836254501800725,-0.15414165666266633,311.0,182.0,279.0,42.0,45.0,30.0,273.0,43.0,61.0,51.0
225.46,54.22,101.0,29.0,225.0,55.0,77.56705744064293,21.074430004154323,-1.0371668667467007,-0.3196638655462199,369.0,185.0,136.0,58.0,337.0,36.0,257.0,50.0,172.0,54.0
263.38,47.54,82.0,34.0,279.0,53.0,78.18615990058599,8.861625133123157,-2.225930372148861,0.05709483793517389,362.0,66.0,291.0,62.0,321.0,58.0,95.0,43.0,270.0,43.0
353.22,15.9,54.0,0.0,395.0,5.0,82.81335399559664,20.73089481908583,3.522641056422568,-0.6154621848739509,400.0,144.0,389.0,11.0,387.0,13.0,390.0,10.0,379.0,19.0
184.46,35.24,11.0,10.0,317.0,36.0,117.16709606369872,18.47437143720998,3.136662665066025,-0.06079231692677151,363.0,136.0,22.0,21.0,65.0,42.0,195.0,50.0,307.0,34.0
211.44,20.8,0.0,0.0,7.0,7.0,139.50127741350616,13.88668426947196,-8.867130852340942,-0.4744297719087642,397.0,82.0,269.0,42.0,358.0,18.0,164.0,18.0,10.0,10.0
154.84,64.04,45.0,42.0,251.0,66.0,59.2119447409051,16.25664171961725,-0.5341656662665043,-0.29416566626650803,251.0,152.0,115.0,60.0,64.0,52.0,227.0,47.0,100.0,63.0
150.8,23.74,54.0,13.0,203.0,26.0,98.93917323285051,10.554259803510623,-4.428907563025215,-0.06170468187274978,365.0,92.0,246.0,17.0,66.0,20.0,67.0,21.0,76.0,19.0
217.14,62.82,51.0,38.0,240.0,60.0,72.11241501988407,22.6986255090479,0.38669867947178893,-0.0537334933973603,317.0,192.0,259.0,58.0,168.0,50.0,197.0,54.0,291.0,79.0
161.28,49.64,25.0,21.0,264.0,25.0,55.53378791330554,23.483406907857308,-0.101608643457385,-0.6241536614645878,278.0,185.0,162.0,51.0,178.0,57.0,39.0,35.0,113.0,52.0
146.5,29.22,21.0,17.0,78.0,20.0,80.0095619285595,16.492774175377527,-0.754333733493398,-0.16869147659063735,299.0,136.0,218.0,30.0,239.0,21.0,52.0,17.0,156.0,18.0
158.26,55.08,36.0,31.0,284.0,60.0,97.86149600328008,10.081349116065768,5.193805522208885,0.17152460984393722,350.0,74.0,107.0,56.0,53.0,42.0,250.0,68.0,156.0,52.0
144.9,47.88,25.0,22.0,264.0,43.0,88.28867424534134,15.928138623203905,3.0214165666266513,0.2011044417767098,348.0,77.0,157.0,24.0,183.0,64.0,38.0,32.0,190.0,69.0
264.78,51.82,180.0,30.0,311.0,53.0,37.35681463936667,23.204042751210405,1.8654981992797133,-0.645426170468189,313.0,199.0,262.0,50.0,278.0,45.0,259.0,44.0,284.0,45.0
155.06,61.56,33.0,29.0,275.0,79.0,91.33026004561685,17.761936831325574,-2.3312845138055254,-0.40864345738295416,337.0,126.0,322.0,45.0,117.0,55.0,113.0,62.0,36.0,30.0
58.94,28.06,17.0,17.0,76.0,29.0,31.281566456940737,10.078511794903052,0.5174069627851138,-0.1921248499399767,150.0,82.0,39.0,29.0,35.0,18.0,150.0,28.0,38.0,26.0
149.56,34.88,6.0,6.0,287.0,15.0,107.44806373313573,25.935026508565592,1.5104921968787508,-0.412388955582234,356.0,188.0,81.0,39.0,28.0,12.0,51.0,49.0,198.0,27.0
142.3,23.56,13.0,9.0,157.0,23.0,73.21919147327428,10.641729182797315,2.5793517406962785,-0.18084033613445438,247.0,75.0,233.0,35.0,17.0,15.0,179.0,11.0,244.0,10.0
342.28,23.8,91.0,7.0,387.0,12.0,61.540243743423716,24.789513912136318,2.04187274909964,-0.6304921968787535,393.0,179.0,386.0,13.0,283.0,20.0,343.0,19.0,372.0,24.0
229.44,43.72,101.0,15.0,184.0,21.0,83.7625596552541,18.24504316245922,-2.001248499399761,-0.17853541416566707,377.0,135.0,161.0,43.0,343.0,47.0,125.0,47.0,286.0,55.0
280.42,30.86,145.0,10.0,284.0,21.0,81.07899604706509,27.296893596158522,4.075534213685474,-0.8459543817527027,385.0,207.0,145.0,38.0,340.0,20.0,361.0,16.0,332.0,25.0
271.84,51.94,48.0,24.0,208.0,56.0,84.3578947105723,22.29834971472104,1.1381512605042012,-0.44969987995198235,376.0,160.0,346.0,35.0,234.0,49.0,360.0,36.0,312.0,56.0
