random-seed,%_workers,%_shirkers,window
69617.66732595481,6.0,10.0,8.0
82961.53884220906,24.0,7.0,7.0
39578.73226520844,41.0,26.0,9.0
28570.873833929818,41.0,39.0,2.0
95466.65024875528,16.0,25.0,5.0
13529.402081606462,27.0,6.0,5.0
18239.171315212454,26.0,8.0,6.0
45831.478420855456,7.0,19.0,3.0
71422.8438180668,37.0,46.0,4.0
63348.40195955582,35.0,31.0,8.0
9503.816980856473,14.0,11.0,5.0
58680.78909563392,40.0,6.0,4.0
33728.6325318374,24.0,25.0,5.0
55752.20801186236,34.0,35.0,8.0
84872.14039947854,9.0,30.0,7.0
89233.67468418878,45.0,15.0,5.0
38567.25901085568,47.0,18.0,5.0
88056.58160450573,19.0,10.0,5.0
91217.93958780395,26.0,32.0,9.0
80995.12112652237,32.0,11.0,5.0
97031.41535424869,40.0,46.0,10.0
82825.19279658221,42.0,39.0,6.0
64139.18755555166,15.0,26.0,5.0
36277.13766008598,38.0,13.0,9.0
2270.615248126486,29.0,33.0,8.0
59689.00465316518,17.0,36.0,8.0
55672.2617413926,17.0,16.0,4.0
71762.30393229364,19.0,46.0,5.0
55609.24109362208,40.0,21.0,4.0
92015.898574823,27.0,22.0,9.0
37205.95282019328,21.0,28.0,8.0
94895.91123472495,36.0,19.0,5.0
64770.735139381555,37.0,17.0,3.0
92183.01117427445,20.0,26.0,5.0
36175.53486759966,3.0,37.0,4.0
50981.64678005131,15.0,26.0,8.0
19517.55144353639,24.0,30.0,9.0
3981.9256583781576,45.0,26.0,10.0
71045.53261179055,3.0,34.0,8.0
33164.359747563336,38.0,13.0,6.0
54506.68444052009,42.0,22.0,2.0
12553.717855908484,33.0,31.0,8.0
17355.959195635005,5.0,5.0,6.0
71964.06213245499,43.0,43.0,3.0
59713.48668532035,19.0,41.0,10.0
6441.254137755361,18.0,19.0,3.0
82492.00085077187,39.0,19.0,9.0
84472.93669959017,34.0,34.0,4.0
8684.989523888315,25.0,43.0,7.0
65027.83144281696,18.0,4.0,9.0
2518.8179833846175,38.0,12.0,7.0
92022.97545069596,23.0,44.0,5.0
85946.40408354693,18.0,30.0,9.0
2191.9406311348143,45.0,39.0,3.0
8117.04924324003,23.0,18.0,6.0
93365.18326244761,47.0,35.0,9.0
95550.55764002718,24.0,18.0,3.0
81801.61460396418,38.0,31.0,5.0
32365.579156771088,23.0,3.0,6.0
84672.96693302035,14.0,26.0,7.0
82621.44949283788,42.0,14.0,8.0
38743.8138897803,4.0,42.0,7.0
50509.701404826264,40.0,30.0,2.0
13436.677252140373,23.0,38.0,3.0
53423.0865952448,23.0,28.0,7.0
31414.96765195318,7.0,43.0,3.0
72841.12543762532,43.0,40.0,9.0
44175.05575102265,46.0,13.0,4.0
95969.15992723944,29.0,45.0,6.0
19394.925767788645,15.0,22.0,8.0
64786.74680974912,26.0,47.0,3.0
62348.18799699685,26.0,26.0,9.0
88962.99096643571,20.0,18.0,4.0
76312.19555344305,3.0,10.0,10.0
92151.6408959349,39.0,17.0,8.0
36172.43667297219,47.0,7.0,4.0
60734.7562824279,28.0,43.0,3.0
3238.9400183641815,24.0,29.0,6.0
73522.90894349104,26.0,30.0,5.0
71210.24129841848,28.0,35.0,3.0
15551.174030660724,21.0,24.0,7.0
45313.232212927214,45.0,23.0,4.0
58349.69482264051,16.0,22.0,2.0
24794.244559777217,23.0,12.0,7.0
45780.06473087611,25.0,47.0,2.0
35084.53269036452,25.0,13.0,4.0
98843.45258634254,16.0,26.0,8.0
81623.00306836359,11.0,37.0,8.0
9924.64760035631,44.0,47.0,4.0
82083.77187958725,41.0,45.0,8.0
75434.96911918337,37.0,26.0,5.0
65878.24023225912,37.0,17.0,4.0
33983.524357175804,24.0,7.0,3.0
72551.81199683929,10.0,24.0,3.0
7379.91182338523,14.0,33.0,6.0
15789.88822946935,10.0,18.0,8.0
94690.18228711246,12.0,20.0,5.0
18863.829459299748,43.0,44.0,3.0
17522.95506040361,18.0,35.0,3.0
18982.078912059234,5.0,5.0,5.0
92407.21591486654,4.0,4.0,2.0
69759.6886924942,22.0,42.0,2.0
172.79117393356918,29.0,7.0,8.0
99314.41858018433,35.0,25.0,7.0
36103.74573828371,15.0,33.0,5.0
70028.46258914372,32.0,36.0,10.0
34963.16176927761,40.0,43.0,7.0
68180.50380130713,17.0,20.0,4.0
95125.88122471572,5.0,26.0,5.0
3749.4336956036127,31.0,15.0,5.0
76958.94875437467,27.0,24.0,4.0
90787.21432327418,32.0,19.0,7.0
85793.5124672779,41.0,46.0,5.0
16378.943233934146,7.0,19.0,3.0
16560.386459159658,21.0,27.0,9.0
64735.00841238369,26.0,7.0,10.0
43487.480615610984,26.0,45.0,6.0
28517.26794589813,14.0,41.0,8.0
79154.42201025221,9.0,3.0,6.0
52427.873112727,22.0,11.0,5.0
5171.92675011489,36.0,46.0,4.0
40465.25317260042,3.0,7.0,7.0
99715.48935740281,24.0,47.0,3.0
37355.58558949642,21.0,29.0,6.0
15572.670761031743,9.0,32.0,5.0
36473.3777223511,39.0,7.0,4.0
57941.39084900957,8.0,2.0,10.0
20627.78862173634,30.0,41.0,5.0
51349.577801188316,21.0,21.0,6.0
29750.839292407923,35.0,7.0,7.0
24389.908744652595,36.0,28.0,5.0
67013.90386412313,4.0,30.0,3.0
34383.09311716221,26.0,17.0,6.0
54929.000596063364,44.0,2.0,6.0
11795.734463068178,16.0,32.0,10.0
13106.63548847569,23.0,29.0,8.0
6633.61116869734,25.0,9.0,7.0
32390.960892396197,27.0,31.0,10.0
98978.77919915946,8.0,38.0,6.0
22528.969106373497,39.0,11.0,8.0
40059.231340012004,23.0,21.0,4.0
71279.81275162385,30.0,46.0,8.0
20562.050418264284,37.0,15.0,8.0
19537.571707183273,46.0,6.0,9.0
85195.40154471753,40.0,45.0,3.0
15032.4362768121,46.0,4.0,5.0
5006.897708734822,8.0,30.0,9.0
31213.97288615935,14.0,44.0,10.0
68290.79297849533,35.0,3.0,6.0
77351.39276894665,10.0,11.0,2.0
15465.899208658117,19.0,28.0,4.0
29460.762920962683,10.0,7.0,6.0
1243.38474737856,23.0,46.0,3.0
67628.15461556426,40.0,19.0,10.0
38409.07385204493,40.0,41.0,5.0
79025.95166731278,28.0,16.0,9.0
9327.193783038496,26.0,44.0,7.0
92465.10226337751,17.0,35.0,6.0
66352.03389726723,23.0,36.0,8.0
47945.347583863484,11.0,8.0,4.0
99102.67048249395,28.0,26.0,7.0
55211.23460636031,34.0,34.0,10.0
67466.22496114695,45.0,18.0,3.0
46996.60998957931,3.0,20.0,10.0
84075.95277745982,12.0,40.0,4.0
18864.274289200548,14.0,6.0,9.0
8844.515388334648,38.0,12.0,7.0
72437.5614809193,8.0,28.0,9.0
13779.112640367235,11.0,2.0,4.0
84441.48227611966,13.0,22.0,7.0
78386.22395737817,35.0,8.0,10.0
31188.376597187253,23.0,25.0,6.0
92777.11688160282,15.0,27.0,7.0
96282.14715697798,14.0,7.0,10.0
13982.743187652222,38.0,17.0,6.0
76796.30738647567,3.0,48.0,3.0
73080.60113279293,24.0,38.0,6.0
77443.59438738239,3.0,36.0,6.0
15550.511473280083,35.0,28.0,10.0
63874.799115041445,31.0,5.0,8.0
53711.617907254724,19.0,19.0,6.0
38190.742379197334,33.0,33.0,3.0
52287.21665559304,40.0,25.0,8.0
14361.925433459857,7.0,22.0,7.0
31754.662800397913,37.0,12.0,9.0
44962.41685128666,8.0,26.0,5.0
72131.38925549922,18.0,41.0,5.0
10290.191160308455,36.0,36.0,6.0
46248.85581975542,18.0,21.0,2.0
44331.304717174826,3.0,45.0,9.0
84628.46124896703,16.0,18.0,3.0
64136.920988111626,24.0,24.0,5.0
50002.702285111875,5.0,40.0,4.0
31728.99425668305,3.0,32.0,9.0
71023.86618909381,39.0,10.0,3.0
91609.76419685117,5.0,14.0,8.0
96774.20080638747,18.0,3.0,9.0
31200.18968250215,36.0,40.0,10.0
28938.229420448595,31.0,44.0,5.0
93706.86084933269,34.0,8.0,7.0
72961.2349065687,26.0,43.0,9.0
71563.05306432844,34.0,8.0,3.0
41628.79125441259,38.0,31.0,3.0
19375.319863258723,47.0,25.0,8.0
20001.44773049803,9.0,39.0,5.0
72251.97759550113,30.0,36.0,9.0
70517.10840207025,8.0,29.0,10.0
27751.291357396425,33.0,40.0,5.0
61327.241520544354,40.0,46.0,10.0
55520.98294271413,8.0,32.0,6.0
69038.0144658766,46.0,9.0,7.0
27702.2233103695,24.0,31.0,9.0
54883.6499356618,16.0,44.0,5.0
21456.908874106783,21.0,3.0,8.0
35499.565721814164,36.0,42.0,8.0
59445.73744589852,40.0,21.0,6.0
5476.075556683174,17.0,5.0,8.0
78255.54658100443,24.0,25.0,9.0
20652.529262931024,13.0,24.0,8.0
55509.18318983249,47.0,25.0,5.0
58184.78009626696,19.0,48.0,9.0
62030.87346944115,5.0,47.0,9.0
70645.01181423172,2.0,8.0,4.0
19700.867390146053,22.0,19.0,7.0
85686.50460244366,13.0,15.0,6.0
9743.374917292598,27.0,17.0,6.0
21749.28919647514,44.0,21.0,10.0
80655.37997167431,25.0,44.0,4.0
58657.001954038824,17.0,2.0,9.0
79826.02448637814,36.0,33.0,4.0
66755.43249971603,34.0,12.0,3.0
49051.08351439102,46.0,10.0,4.0
84292.69616194116,12.0,13.0,6.0
9132.807517518815,20.0,46.0,4.0
49812.34941081224,46.0,39.0,10.0
93320.3884036672,13.0,6.0,7.0
95965.64904017876,38.0,27.0,9.0
78822.30188508084,30.0,37.0,8.0
38674.34279594864,26.0,4.0,2.0
1472.9964471630944,3.0,39.0,5.0
23133.500986776162,25.0,30.0,6.0
60880.3442618829,12.0,23.0,8.0
83077.92039031499,43.0,24.0,9.0
296.60648543407297,34.0,29.0,8.0
24825.63570098767,42.0,4.0,4.0
9757.31007746254,9.0,35.0,3.0
26631.762272313666,27.0,10.0,8.0
87963.60429170728,44.0,32.0,10.0
57473.210345596126,34.0,18.0,2.0
80999.0922336466,7.0,30.0,6.0
63707.29599019652,23.0,21.0,8.0
34736.424647666514,24.0,27.0,7.0
80979.6586166159,29.0,9.0,4.0
37330.47708993137,22.0,41.0,4.0
1103.6217511169043,15.0,16.0,10.0
74439.73341536106,41.0,7.0,10.0
82898.36461669172,29.0,42.0,2.0
73139.0385156477,47.0,10.0,7.0
18817.97183214523,10.0,46.0,3.0
7386.8133374878225,28.0,43.0,9.0
21563.982158802657,45.0,20.0,5.0
91053.87071871942,34.0,30.0,10.0
94645.38257304112,24.0,6.0,6.0
982.8016023850406,18.0,14.0,7.0
19442.311897518855,40.0,9.0,7.0
21900.527460839654,31.0,3.0,5.0
88387.18903568576,43.0,22.0,9.0
30516.347267535064,8.0,9.0,7.0
18291.99080397342,47.0,36.0,5.0
9788.744752295992,5.0,15.0,7.0
4192.694399214222,19.0,27.0,4.0
45315.11927363413,35.0,21.0,2.0
81638.12817896661,31.0,5.0,6.0
31212.31168337793,10.0,36.0,8.0
774.7136777482642,15.0,44.0,3.0
39020.08410832499,13.0,44.0,7.0
41018.895581275465,37.0,45.0,3.0
92783.06209133197,13.0,29.0,5.0
96588.96449345026,18.0,45.0,9.0
23406.935130864076,27.0,38.0,6.0
97306.23473458602,8.0,14.0,4.0
70470.48173789572,10.0,46.0,4.0
46451.67912599705,31.0,46.0,6.0
14616.853914031091,46.0,38.0,10.0
74361.3744670159,3.0,19.0,7.0
65078.63738171461,42.0,10.0,9.0
59097.938697407546,10.0,25.0,7.0
17930.40976341853,29.0,25.0,8.0
62764.5580393264,32.0,19.0,9.0
27049.537817739434,22.0,31.0,6.0
32875.75121094414,19.0,34.0,2.0
9262.975624539502,34.0,14.0,2.0
95170.79254314676,37.0,24.0,8.0
29781.561975382643,21.0,13.0,9.0
74106.47275220756,20.0,37.0,2.0
6157.330758420283,5.0,33.0,3.0
30352.270367744328,12.0,19.0,7.0
61353.878733475474,19.0,3.0,9.0
1612.9894160087156,42.0,5.0,6.0
86054.45056790065,42.0,10.0,8.0
64953.42670015073,13.0,28.0,9.0
67676.64031225188,12.0,35.0,7.0
12207.997994938194,27.0,13.0,6.0
79354.53615044983,17.0,14.0,10.0
73990.24765187534,45.0,45.0,10.0
64249.66647591838,44.0,46.0,9.0
18330.022822843457,14.0,39.0,10.0
91982.25056751855,30.0,41.0,5.0
12301.00073229332,40.0,35.0,4.0
62945.20547703692,43.0,5.0,6.0
18396.590221495764,7.0,19.0,8.0
55317.07442606669,19.0,28.0,3.0
52633.18625692322,5.0,42.0,3.0
83418.0231223378,27.0,4.0,3.0
7853.0472137298975,27.0,15.0,5.0
39571.520274010756,13.0,28.0,8.0
10183.90335193565,8.0,40.0,2.0
98386.93272986694,36.0,42.0,3.0
38661.20264139613,25.0,11.0,9.0
87691.62051934928,31.0,5.0,5.0
71225.01824272903,25.0,30.0,4.0
92694.43302457586,18.0,41.0,6.0
1427.7164098525664,25.0,28.0,8.0
11962.481264276026,18.0,39.0,6.0
64481.158274845475,6.0,46.0,3.0
25175.421427717614,39.0,3.0,9.0
78107.90801574478,13.0,33.0,7.0
36423.27851979769,31.0,3.0,6.0
4519.511279130831,32.0,27.0,9.0
13999.895233987607,23.0,32.0,2.0
99851.21417497638,39.0,9.0,6.0
81297.71924088638,34.0,20.0,7.0
11409.099582772224,15.0,39.0,9.0
43616.906688437964,19.0,14.0,5.0
49985.83708679582,6.0,13.0,9.0
67426.15932924418,24.0,14.0,3.0
35473.13100635592,43.0,45.0,9.0
42956.74125993029,11.0,17.0,5.0
45019.92423731617,38.0,37.0,7.0
49419.11525508257,10.0,7.0,4.0
70976.87417950103,6.0,16.0,5.0
18355.172241270844,30.0,36.0,7.0
37281.466268526936,33.0,14.0,9.0
28929.326638310326,32.0,44.0,6.0
22684.69904205668,3.0,28.0,5.0
10853.968777654933,29.0,25.0,6.0
91111.27843607834,40.0,29.0,9.0
95666.87949844477,8.0,10.0,5.0
94402.65979325393,30.0,27.0,6.0
94407.36675978222,10.0,5.0,5.0
47610.20693112735,12.0,27.0,6.0
59467.03313494605,17.0,3.0,8.0
30668.217235827575,30.0,4.0,3.0
21428.792003982857,20.0,7.0,6.0
78734.50020397929,19.0,15.0,4.0
51368.7237061519,12.0,39.0,3.0
80078.14945010871,22.0,16.0,9.0
78289.50582803515,2.0,29.0,6.0
10128.502126366984,24.0,37.0,10.0
88554.47513860658,20.0,11.0,5.0
90285.44986646988,45.0,29.0,3.0
86308.5430595537,11.0,4.0,9.0
19048.939414289085,18.0,7.0,5.0
13399.11181783204,11.0,12.0,6.0
10368.5265831971,28.0,36.0,4.0
52690.60002592746,21.0,38.0,6.0
59069.90784783814,21.0,18.0,4.0
5457.843949703859,39.0,47.0,5.0
92544.07310949032,27.0,36.0,8.0
22377.697812211063,33.0,44.0,9.0
82836.32193340687,9.0,48.0,2.0
59264.78411091983,6.0,44.0,5.0
57724.95664487351,10.0,23.0,3.0
49626.02581044547,22.0,43.0,5.0
20521.31410957047,46.0,2.0,4.0
43606.515416835005,29.0,34.0,7.0
93053.937356891,22.0,45.0,7.0
49605.16968574163,41.0,10.0,7.0
48342.322919457154,47.0,45.0,6.0
20940.678177636986,43.0,26.0,8.0
23307.476810387223,17.0,47.0,5.0
16387.29328962419,7.0,31.0,6.0
18674.592083608943,22.0,22.0,4.0
99142.11964434589,10.0,37.0,8.0
35352.36171011405,22.0,46.0,7.0
69263.94177263815,45.0,39.0,3.0
69553.58403747357,46.0,31.0,10.0
93268.44599491605,3.0,26.0,5.0
6949.605915999696,4.0,12.0,9.0
33284.63779350334,35.0,14.0,3.0
36197.454467686875,34.0,14.0,10.0
26464.234108423807,9.0,13.0,6.0
50609.07058516146,20.0,37.0,6.0
1109.8881601934322,26.0,7.0,2.0
57195.6243725307,32.0,15.0,10.0
74162.25287491945,40.0,38.0,10.0
81231.57523601752,25.0,18.0,6.0
80439.48792406738,45.0,33.0,2.0
42009.0750072234,8.0,47.0,4.0
89487.51156568578,20.0,7.0,6.0
8399.998007639217,4.0,8.0,10.0
87410.35677661195,11.0,16.0,5.0
28700.070446659138,24.0,24.0,7.0
65474.89719615941,41.0,44.0,6.0
57280.33560812544,13.0,16.0,4.0
84166.16887258812,5.0,43.0,7.0
83884.07702247411,22.0,21.0,6.0
146.61716817604338,37.0,10.0,9.0
2592.056042039447,33.0,44.0,10.0
35354.0584102453,3.0,41.0,3.0
21938.837080861354,34.0,34.0,9.0
92491.21691898565,38.0,35.0,8.0
97273.96116625691,6.0,27.0,7.0
10738.194738431237,22.0,18.0,8.0
67298.73390323007,15.0,37.0,8.0
23675.214237788066,24.0,6.0,5.0
13335.128197006421,9.0,44.0,7.0
15551.152877424121,24.0,45.0,4.0
56702.690356463165,46.0,22.0,9.0
81918.27569125693,18.0,24.0,10.0
20140.545536569396,28.0,24.0,4.0
92008.97037969746,45.0,8.0,9.0
90288.89725479417,11.0,11.0,8.0
65843.8188867722,26.0,12.0,7.0
6655.516771667076,17.0,40.0,9.0
55480.65198803604,9.0,12.0,6.0
49098.51824210845,27.0,27.0,4.0
64690.71146885189,40.0,15.0,10.0
69451.42467451261,13.0,42.0,9.0
68358.1990379035,3.0,47.0,3.0
76003.63509611141,4.0,24.0,10.0
91970.95398811557,24.0,12.0,4.0
70635.82350010969,21.0,33.0,6.0
5281.02113526944,3.0,45.0,3.0
35465.24928081935,19.0,38.0,10.0
90746.52370560539,41.0,38.0,3.0
40921.06872896328,22.0,43.0,9.0
47083.42862735403,38.0,9.0,9.0
17536.849008545105,27.0,18.0,8.0
60050.58009578533,14.0,5.0,3.0
45056.576279342014,3.0,9.0,8.0
4946.351362546825,39.0,19.0,7.0
2088.2059191585963,29.0,5.0,3.0
17948.531543187382,24.0,37.0,9.0
97107.83104307245,7.0,42.0,5.0
36235.35897459945,16.0,13.0,3.0
75978.9056091504,16.0,33.0,2.0
91129.41582720178,48.0,38.0,2.0
50081.82221829497,37.0,40.0,2.0
60701.14865673472,41.0,8.0,5.0
55789.89471441987,35.0,35.0,7.0
2308.557164550565,25.0,41.0,10.0
85020.73647150747,12.0,45.0,5.0
67994.16791039886,15.0,46.0,4.0
3112.348615371248,34.0,38.0,10.0
19343.92933530593,7.0,29.0,6.0
1732.154145480408,23.0,37.0,6.0
70828.01254830358,15.0,25.0,6.0
8774.084763674586,33.0,42.0,4.0
54961.64404727812,48.0,29.0,6.0
55320.96784780089,40.0,36.0,4.0
74187.63185353536,9.0,47.0,9.0
91937.60277423152,33.0,13.0,7.0
6300.079628737299,29.0,11.0,9.0
83758.47583399559,7.0,43.0,5.0
60885.527602085494,34.0,47.0,6.0
60757.80509283404,35.0,35.0,3.0
62419.04937188591,24.0,44.0,8.0
58944.879365090506,30.0,36.0,7.0
65894.02281694258,18.0,6.0,4.0
15626.712680021321,33.0,42.0,3.0
32073.564549363407,25.0,26.0,6.0
4709.310189112044,5.0,24.0,10.0
2865.509640787753,15.0,35.0,5.0
51304.80131279031,4.0,23.0,9.0
48482.44365377187,31.0,24.0,7.0
20785.355171178166,9.0,14.0,6.0
79809.94729532319,16.0,7.0,5.0
11566.628795893577,22.0,9.0,9.0
75848.2011136677,24.0,42.0,7.0
64646.25508195617,34.0,4.0,5.0
70500.56714524217,31.0,33.0,3.0
23419.865686724705,10.0,41.0,6.0
9687.470424072144,31.0,2.0,3.0
75547.6446970674,39.0,26.0,10.0
37403.209882998824,40.0,21.0,4.0
57671.58063260683,20.0,24.0,6.0
59769.93979981006,38.0,16.0,10.0
15318.976667592926,19.0,27.0,5.0
28159.138170053775,9.0,18.0,4.0
38411.84640945305,3.0,14.0,8.0
58266.01101105864,23.0,16.0,7.0
45541.52613294124,5.0,40.0,7.0
43533.47699117815,33.0,19.0,2.0
4751.818142669706,42.0,15.0,9.0
3659.2057158774574,40.0,23.0,4.0
50547.7013094293,11.0,42.0,6.0
82379.08341397956,15.0,34.0,6.0
13053.49605510123,30.0,32.0,3.0
70901.1497157129,15.0,41.0,9.0
30036.024155852792,8.0,46.0,6.0
93953.53410048177,36.0,44.0,4.0
23144.915801420113,38.0,39.0,5.0
6792.608924479794,32.0,27.0,8.0
11826.315797050402,9.0,10.0,3.0
81356.6898435708,34.0,13.0,2.0
19079.298810683216,26.0,46.0,3.0
88430.6456662011,47.0,2.0,5.0
45315.378562774065,26.0,39.0,9.0
19556.22719190808,40.0,14.0,8.0
82351.19863558591,19.0,40.0,8.0
77286.50326628341,7.0,14.0,9.0
20021.1546314139,8.0,45.0,4.0
47997.307468480416,10.0,47.0,7.0
55580.89244686953,2.0,16.0,6.0
50826.699325673995,29.0,30.0,6.0
6016.226844568011,46.0,30.0,4.0
31881.68352755438,48.0,25.0,4.0
80500.85998103971,12.0,42.0,8.0
7208.902568091955,21.0,13.0,8.0
56792.930799053014,23.0,8.0,8.0
14156.414494152074,31.0,29.0,5.0
61591.524701570685,21.0,37.0,9.0
91984.6935008134,6.0,4.0,7.0
3830.654162447931,5.0,13.0,5.0
13905.910604935169,7.0,41.0,5.0
75852.03344617382,5.0,35.0,9.0
97081.08813240303,18.0,11.0,9.0
42275.93381545712,15.0,18.0,3.0
19580.591126859246,30.0,14.0,4.0
74870.22727913699,4.0,16.0,4.0
23642.70645620689,10.0,22.0,3.0
29696.86276967351,39.0,20.0,7.0
41519.51068820721,32.0,9.0,5.0
59357.49415566614,33.0,24.0,5.0
36572.21526147964,47.0,46.0,6.0
67538.0717051263,11.0,43.0,10.0
17419.016434816727,27.0,48.0,3.0
90315.39247482512,41.0,11.0,8.0
48458.61883101734,39.0,12.0,5.0
89257.83711844811,3.0,28.0,3.0
4105.221372129753,8.0,23.0,3.0
64828.247658663386,10.0,19.0,4.0
69009.08608361341,20.0,43.0,5.0
81866.38351483342,28.0,31.0,3.0
27226.382563207397,43.0,6.0,4.0
84138.63028024988,33.0,38.0,6.0
79633.9893919883,11.0,31.0,9.0
63913.239253413834,32.0,11.0,5.0
68200.35401265955,27.0,32.0,4.0
50574.519625111876,6.0,43.0,9.0
78073.05864182409,24.0,6.0,2.0
70901.61455104648,14.0,3.0,9.0
176.8216108558874,12.0,32.0,3.0
69190.72573741108,28.0,43.0,3.0
69853.79664268142,34.0,46.0,6.0
84578.61197612461,27.0,9.0,5.0
76153.58108932452,21.0,26.0,5.0
4625.706025976609,15.0,23.0,8.0
75608.42169088226,23.0,36.0,3.0
83311.08365801118,46.0,14.0,6.0
90699.64788689683,34.0,22.0,2.0
94288.95374935896,5.0,27.0,5.0
19180.2769655954,3.0,29.0,10.0
76181.35322392556,6.0,27.0,8.0
74996.46701658191,2.0,35.0,3.0
64661.247872347325,40.0,9.0,8.0
84838.22165068702,6.0,8.0,9.0
78130.91343440715,23.0,42.0,7.0
66466.64850162373,17.0,12.0,5.0
50176.19140951858,26.0,14.0,10.0
41841.75646182066,10.0,37.0,8.0
24044.09157937921,35.0,21.0,8.0
16073.155384088212,23.0,15.0,7.0
11559.339561203573,27.0,39.0,7.0
51304.84134931115,31.0,19.0,8.0
83656.66560037283,34.0,44.0,5.0
58536.28814453271,16.0,38.0,9.0
48028.38036350665,18.0,33.0,6.0
22048.669351473345,34.0,34.0,6.0
48832.84461102911,29.0,36.0,7.0
67268.9953015662,23.0,23.0,4.0
39247.846215386635,41.0,37.0,2.0
45068.71712019684,20.0,44.0,3.0
47830.151020403166,6.0,40.0,4.0
42072.57847552106,40.0,26.0,5.0
5623.576579363095,17.0,28.0,8.0
66376.10977074922,42.0,6.0,3.0
3914.0384502540896,18.0,14.0,6.0
76791.87917414219,12.0,11.0,8.0
82155.75625131014,5.0,23.0,8.0
80691.0313320202,37.0,37.0,8.0
67981.16573127528,12.0,14.0,6.0
31674.783626966746,39.0,39.0,7.0
95016.11836312553,27.0,32.0,9.0
49200.3128903293,26.0,40.0,2.0
56179.15282929106,23.0,29.0,6.0
5368.917059563807,34.0,27.0,9.0
80254.35665538593,38.0,3.0,9.0
66090.08759526184,14.0,42.0,3.0
73058.47897701929,34.0,28.0,6.0
58317.92634091776,37.0,42.0,7.0
41310.08105266256,31.0,39.0,5.0
82483.5041326184,8.0,14.0,4.0
29017.587150286774,13.0,21.0,4.0
65590.49758863608,24.0,6.0,8.0
63411.437849261805,32.0,18.0,9.0
11120.003092602497,19.0,32.0,7.0
51168.30825311087,45.0,24.0,5.0
65279.859826751046,3.0,32.0,9.0
29415.51500079922,13.0,24.0,10.0
76725.45449593538,47.0,36.0,5.0
66891.53377077216,45.0,36.0,8.0
59196.45660705937,45.0,10.0,7.0
17174.97912836131,29.0,21.0,3.0
14177.576245424269,8.0,30.0,2.0
80478.42753772544,26.0,40.0,3.0
8448.894380193342,31.0,9.0,7.0
40932.40777464293,27.0,40.0,4.0
45771.87093135567,44.0,14.0,6.0
20875.082228435454,3.0,23.0,2.0
96819.99981034859,28.0,25.0,4.0
68183.3289690649,11.0,35.0,8.0
26545.222591775288,34.0,8.0,3.0
