random-seed,gerreproduce,patch-variability,ger-gain-from-food,grass-regrowth-time
74897.06082421825,5.0,99.0,13.0,9.0
70717.61913491976,4.0,32.0,14.0,8.0
98196.2022458303,4.0,33.0,4.0,5.0
26188.799100044253,4.0,15.0,16.0,4.0
14348.920746624959,5.0,11.0,18.0,3.0
28589.421854631037,1.0,41.0,11.0,5.0
88249.70281766346,3.0,81.0,17.0,9.0
72440.30483548508,2.0,65.0,4.0,7.0
64813.5903658608,2.0,24.0,9.0,4.0
7380.599123736536,3.0,20.0,13.0,3.0
27926.4095680989,4.0,42.0,15.0,9.0
68974.6323238287,1.0,95.0,13.0,9.0
53927.132866143475,1.0,34.0,19.0,10.0
8475.134220473466,3.0,37.0,18.0,3.0
25240.846012403246,1.0,58.0,6.0,8.0
37138.13866629226,4.0,8.0,19.0,3.0
15480.79956409669,2.0,7.0,18.0,6.0
72575.24692101625,1.0,29.0,8.0,2.0
74206.47686433158,1.0,53.0,13.0,8.0
92131.16140654011,1.0,66.0,15.0,4.0
96694.0859422635,3.0,21.0,17.0,5.0
67183.74353884271,3.0,91.0,16.0,1.0
77326.94646139297,5.0,59.0,2.0,2.0
72984.77456396306,3.0,87.0,12.0,1.0
73387.5011954798,4.0,23.0,4.0,1.0
98857.25018981354,3.0,12.0,14.0,7.0
78832.11975006317,5.0,28.0,9.0,2.0
88605.73471431795,4.0,86.0,12.0,4.0
98601.90229749204,4.0,70.0,3.0,9.0
52312.47738461955,2.0,65.0,15.0,7.0
36660.905233900165,4.0,61.0,8.0,6.0
10918.434484552248,1.0,21.0,16.0,8.0
62013.64434460385,3.0,15.0,5.0,1.0
65921.67089124408,2.0,25.0,13.0,8.0
23098.104797127624,1.0,72.0,12.0,5.0
89685.56660703047,1.0,35.0,6.0,2.0
7574.012947801757,3.0,70.0,6.0,6.0
90062.27613719333,4.0,28.0,13.0,7.0
86035.95263427154,3.0,8.0,14.0,2.0
85449.91582954985,4.0,71.0,19.0,4.0
33260.112130274785,3.0,26.0,18.0,4.0
8127.023970844167,3.0,80.0,18.0,10.0
94096.5647475472,2.0,44.0,15.0,10.0
9696.01627522308,2.0,37.0,6.0,2.0
30301.67442293697,2.0,68.0,15.0,4.0
34449.57607088776,4.0,10.0,3.0,8.0
13248.26334591571,5.0,92.0,2.0,2.0
97282.63684412133,1.0,27.0,2.0,2.0
97977.4705341302,3.0,73.0,4.0,5.0
33335.87418801124,2.0,86.0,2.0,10.0
59255.73887319715,3.0,25.0,2.0,7.0
3915.8792194924035,4.0,23.0,3.0,2.0
46686.04025521948,2.0,27.0,7.0,7.0
36050.86478135146,3.0,71.0,5.0,6.0
31490.154620650184,2.0,54.0,19.0,9.0
39428.68132802424,2.0,74.0,16.0,2.0
3764.156404686072,1.0,60.0,16.0,4.0
90847.35449708458,3.0,23.0,3.0,5.0
69706.97185092204,2.0,76.0,12.0,10.0
6711.05465076507,1.0,99.0,17.0,7.0
68871.51790887826,3.0,69.0,3.0,7.0
78225.84929825556,4.0,26.0,3.0,6.0
33346.85819851505,2.0,35.0,9.0,7.0
77992.76654566111,3.0,76.0,18.0,2.0
71997.55762766517,3.0,33.0,8.0,1.0
39233.15432129785,1.0,31.0,16.0,3.0
533.3841767057435,3.0,74.0,19.0,9.0
22563.990700142647,1.0,36.0,17.0,6.0
48661.35778907023,2.0,74.0,14.0,9.0
64189.731502096074,3.0,59.0,5.0,7.0
25213.55617904354,5.0,80.0,16.0,5.0
44118.16434592894,5.0,74.0,19.0,2.0
3490.1460633873835,4.0,95.0,18.0,3.0
6684.016603430049,1.0,18.0,5.0,1.0
68453.670023168,4.0,99.0,5.0,9.0
12950.42722666488,5.0,20.0,5.0,9.0
22763.026987981615,3.0,26.0,14.0,4.0
4667.836765256433,2.0,100.0,17.0,3.0
48969.97327421165,4.0,9.0,18.0,7.0
30609.272829907968,4.0,89.0,3.0,6.0
73124.41165492509,4.0,82.0,15.0,8.0
75020.67764562779,2.0,52.0,7.0,8.0
25580.3587300624,3.0,98.0,17.0,3.0
830.7236588535126,5.0,77.0,7.0,9.0
46597.02921000035,2.0,29.0,7.0,2.0
60742.59152763472,4.0,87.0,6.0,4.0
60373.48707634292,4.0,18.0,15.0,8.0
88242.00597937415,4.0,43.0,4.0,10.0
92653.43714617277,2.0,36.0,8.0,4.0
95551.78515656092,3.0,79.0,6.0,1.0
52891.690285211145,1.0,46.0,16.0,4.0
97287.659078367,1.0,49.0,17.0,7.0
87333.52470680456,5.0,60.0,15.0,4.0
54231.2293079755,4.0,73.0,13.0,8.0
62877.36061829043,4.0,55.0,13.0,8.0
48215.765778617206,4.0,49.0,12.0,2.0
70986.18092071224,2.0,28.0,15.0,7.0
63190.65016755955,4.0,12.0,13.0,4.0
39595.06925471039,4.0,54.0,15.0,4.0
3422.8070622785553,2.0,16.0,15.0,6.0
31117.66535561297,2.0,51.0,17.0,7.0
52695.85099094468,3.0,83.0,14.0,9.0
42241.7908770301,2.0,84.0,17.0,5.0
20372.293236222147,4.0,20.0,15.0,4.0
19452.110657971603,2.0,46.0,19.0,7.0
60153.938105760535,1.0,20.0,17.0,7.0
48258.48245584652,4.0,38.0,9.0,2.0
81893.79394771377,2.0,96.0,15.0,7.0
76251.36139341535,5.0,88.0,12.0,8.0
54429.053013775316,1.0,26.0,13.0,9.0
32231.173608859786,2.0,97.0,4.0,9.0
29941.48580898133,2.0,45.0,3.0,6.0
15815.873103526414,3.0,5.0,14.0,7.0
86706.64752222343,4.0,43.0,16.0,4.0
34698.682382551,1.0,72.0,11.0,4.0
93113.28800527795,5.0,55.0,11.0,6.0
58655.233192111446,4.0,29.0,2.0,4.0
54175.45113033727,2.0,10.0,8.0,9.0
79004.4866918527,3.0,55.0,13.0,5.0
23182.98393787987,3.0,20.0,7.0,3.0
37506.04596405421,2.0,18.0,19.0,5.0
97347.43886090233,4.0,73.0,2.0,8.0
9545.507378734002,3.0,38.0,3.0,9.0
31.198989266556925,4.0,96.0,17.0,6.0
53209.13190724637,2.0,59.0,18.0,6.0
33381.01437960198,5.0,39.0,2.0,1.0
64208.94862764175,2.0,43.0,14.0,4.0
80323.77209541027,2.0,17.0,8.0,1.0
39224.039945052944,3.0,47.0,3.0,6.0
54947.98493779131,3.0,74.0,8.0,5.0
43983.27035780312,5.0,56.0,9.0,3.0
66966.96729667233,2.0,98.0,6.0,3.0
78732.09971496825,1.0,54.0,2.0,9.0
26082.727929845845,5.0,25.0,19.0,6.0
64803.93032069027,2.0,15.0,9.0,2.0
79482.30876271111,4.0,34.0,18.0,3.0
96877.16238137365,1.0,43.0,17.0,9.0
51594.6911109452,2.0,57.0,7.0,4.0
75345.38477852244,3.0,26.0,12.0,4.0
9998.24177978607,2.0,58.0,17.0,3.0
62709.362444780825,2.0,48.0,12.0,1.0
37690.316591906405,4.0,63.0,6.0,6.0
46993.31790328126,2.0,50.0,11.0,5.0
97392.19567062837,1.0,37.0,15.0,8.0
91118.73456923044,5.0,100.0,16.0,7.0
30617.604941150643,1.0,28.0,14.0,2.0
72067.66624344817,3.0,81.0,11.0,10.0
69638.44378438643,4.0,6.0,8.0,6.0
11955.88922949083,4.0,19.0,11.0,2.0
2578.454408206133,2.0,83.0,2.0,7.0
87268.20377034046,3.0,77.0,5.0,4.0
93259.13779516565,2.0,79.0,4.0,6.0
71355.51627310501,4.0,16.0,3.0,8.0
25704.03646755899,2.0,10.0,9.0,3.0
54647.93280966466,5.0,66.0,3.0,9.0
31856.243632912072,3.0,73.0,15.0,3.0
48507.26739166759,3.0,94.0,12.0,4.0
57381.59737884978,2.0,90.0,13.0,7.0
64305.08421382045,4.0,29.0,16.0,3.0
9991.333180427895,4.0,42.0,16.0,7.0
58580.68650229453,3.0,33.0,10.0,6.0
6518.291373159616,4.0,9.0,15.0,8.0
49875.47432783236,4.0,9.0,6.0,8.0
37526.330717261604,1.0,86.0,16.0,3.0
20306.57989978023,3.0,10.0,18.0,5.0
67899.24685898868,4.0,41.0,12.0,3.0
18426.91502615614,3.0,69.0,2.0,3.0
43985.10130419774,5.0,67.0,20.0,5.0
11811.88559393042,5.0,11.0,16.0,9.0
45870.752350826064,3.0,45.0,13.0,10.0
37859.09531931689,4.0,43.0,9.0,7.0
82783.34296303181,3.0,49.0,11.0,7.0
48469.75508355002,2.0,52.0,14.0,10.0
73793.68777371278,4.0,42.0,6.0,8.0
57550.0738184714,3.0,16.0,10.0,10.0
3538.1894162840154,1.0,24.0,5.0,6.0
98474.15292419124,4.0,22.0,17.0,8.0
94800.2662510781,1.0,47.0,7.0,6.0
7647.113097500727,2.0,59.0,4.0,3.0
57654.05915741072,2.0,21.0,2.0,8.0
16935.486074457036,1.0,93.0,6.0,10.0
34622.42879051336,2.0,95.0,19.0,4.0
30728.47809300279,4.0,73.0,9.0,6.0
42133.06147145982,2.0,14.0,6.0,2.0
88791.89233306964,3.0,91.0,14.0,3.0
29496.734310047137,4.0,87.0,13.0,2.0
1684.4258031059976,5.0,85.0,16.0,2.0
8683.446796506207,2.0,15.0,15.0,7.0
4742.922590097138,5.0,22.0,6.0,6.0
926.2614833138285,2.0,27.0,5.0,3.0
37770.08720656761,5.0,56.0,3.0,5.0
79408.93870060483,3.0,50.0,10.0,1.0
634.7178096371093,3.0,35.0,8.0,2.0
57737.57916574097,1.0,60.0,6.0,4.0
86606.44896790227,3.0,81.0,3.0,4.0
90449.13600647564,2.0,56.0,12.0,3.0
20055.932419917546,5.0,8.0,11.0,4.0
26568.78199257763,4.0,15.0,13.0,9.0
3468.4910186303246,5.0,56.0,3.0,2.0
20362.61632801336,3.0,22.0,11.0,2.0
34752.490044775324,4.0,34.0,20.0,7.0
82300.59464164515,5.0,61.0,9.0,8.0
75960.04085313153,3.0,26.0,9.0,10.0
98016.64886595942,5.0,21.0,13.0,3.0
68172.35188250903,3.0,98.0,8.0,7.0
38609.56106429993,4.0,25.0,19.0,4.0
59450.15773164614,1.0,32.0,17.0,10.0
23014.52508522578,2.0,60.0,17.0,6.0
37267.545043152495,4.0,89.0,11.0,2.0
7203.198716538483,1.0,35.0,3.0,2.0
40309.86634097428,3.0,29.0,13.0,1.0
16307.400598969509,2.0,46.0,10.0,1.0
64337.42527835646,3.0,7.0,15.0,10.0
18835.25316824246,3.0,10.0,15.0,3.0
70223.78072921313,3.0,72.0,11.0,9.0
22940.82664877373,4.0,35.0,12.0,9.0
87864.75812262083,2.0,13.0,11.0,1.0
85736.17256434092,5.0,14.0,14.0,2.0
29053.229954850165,2.0,62.0,3.0,3.0
96327.8874192141,3.0,81.0,20.0,2.0
72523.71642556314,4.0,93.0,6.0,6.0
76333.68169871958,4.0,34.0,7.0,2.0
32411.771113543145,5.0,91.0,8.0,4.0
17031.206431946845,4.0,8.0,7.0,8.0
29336.233015522273,1.0,16.0,6.0,2.0
16481.725965764526,1.0,95.0,10.0,1.0
97086.25953186634,5.0,100.0,6.0,5.0
42848.862956984914,3.0,48.0,16.0,7.0
37303.76849895414,5.0,37.0,7.0,2.0
71335.21949927321,4.0,99.0,10.0,5.0
30115.89623666917,3.0,33.0,15.0,3.0
67543.67101259585,2.0,51.0,15.0,1.0
72883.55367198278,3.0,79.0,20.0,2.0
16857.30197928367,1.0,82.0,13.0,9.0
28175.712878300183,4.0,29.0,6.0,9.0
97081.42100504464,3.0,28.0,13.0,5.0
60284.451129245645,2.0,83.0,16.0,9.0
56760.87754816189,1.0,49.0,9.0,5.0
10807.005139658804,1.0,73.0,19.0,7.0
79328.33225350926,2.0,26.0,15.0,6.0
15045.72780051645,3.0,34.0,11.0,8.0
35557.34554114771,2.0,24.0,17.0,8.0
53379.43657786865,4.0,26.0,13.0,6.0
97954.47003941139,1.0,50.0,11.0,4.0
76743.89963750717,3.0,39.0,10.0,9.0
7585.874787045081,3.0,47.0,8.0,9.0
37651.259481571564,5.0,92.0,3.0,2.0
59629.687369903746,2.0,32.0,10.0,3.0
25110.04950172887,2.0,85.0,15.0,10.0
78088.34900939802,1.0,9.0,11.0,5.0
67070.35724538256,4.0,5.0,11.0,2.0
4931.330501841905,4.0,62.0,13.0,8.0
74988.29684152738,4.0,75.0,3.0,2.0
91965.95523578345,2.0,11.0,8.0,2.0
89841.09435381173,3.0,30.0,4.0,5.0
62634.5850618448,3.0,49.0,16.0,5.0
26256.146349779654,1.0,67.0,7.0,5.0
31762.163231973318,3.0,53.0,9.0,10.0
62748.566268312636,3.0,69.0,18.0,8.0
84148.67946971692,1.0,33.0,5.0,9.0
82355.11145239553,5.0,27.0,19.0,3.0
7555.181776803729,3.0,75.0,4.0,2.0
83351.73565518511,5.0,22.0,7.0,1.0
86697.88816941548,1.0,28.0,7.0,4.0
77618.98954151069,2.0,48.0,12.0,4.0
58359.596954629975,4.0,53.0,18.0,9.0
15847.322749090757,4.0,95.0,15.0,9.0
87316.5160932688,2.0,63.0,13.0,8.0
36763.5991363314,2.0,81.0,8.0,6.0
39524.635475663345,2.0,48.0,19.0,6.0
47638.02476841262,3.0,26.0,19.0,8.0
82887.72031763665,4.0,47.0,16.0,3.0
6350.702176721539,5.0,7.0,16.0,1.0
2285.1368338429133,3.0,29.0,13.0,8.0
17672.75600729716,3.0,25.0,7.0,2.0
53661.62537451883,4.0,14.0,12.0,3.0
51812.189065742845,1.0,21.0,14.0,2.0
80144.49534771926,3.0,43.0,5.0,2.0
22397.76455097362,2.0,79.0,14.0,1.0
56088.8653255334,2.0,53.0,3.0,1.0
33275.51349714689,1.0,27.0,18.0,7.0
14210.940389421608,4.0,76.0,9.0,2.0
12370.59806311797,1.0,91.0,11.0,9.0
14770.12781192953,2.0,90.0,13.0,5.0
67047.73385689464,3.0,8.0,8.0,2.0
281.54285421504153,4.0,74.0,3.0,2.0
94643.39017195432,2.0,18.0,12.0,7.0
39643.385338161555,2.0,31.0,3.0,7.0
7759.0926897125955,4.0,97.0,15.0,8.0
45868.28459077127,4.0,50.0,15.0,9.0
74311.85754862911,2.0,19.0,3.0,10.0
29723.006179093183,3.0,94.0,9.0,9.0
9779.707158079067,2.0,24.0,9.0,10.0
31413.751172320823,1.0,11.0,13.0,10.0
6919.884971120521,2.0,28.0,6.0,3.0
49300.63020532011,2.0,19.0,14.0,6.0
28904.80329824102,1.0,90.0,6.0,6.0
