random-seed,density,%-similar-wanted,radiusNeighborhood
38737.974059430664,71.0,37.0,3.0
58023.72997347616,75.0,52.0,3.0
73264.39979633068,89.0,26.0,1.0
30130.12871487587,66.0,34.0,5.0
48264.23678986034,99.0,47.0,2.0
51938.70467155339,80.0,44.0,1.0
1968.2493444117426,77.0,57.0,1.0
13958.695786841985,67.0,65.0,1.0
49957.59101975331,89.0,38.0,3.0
84104.62611006801,92.0,50.0,5.0
73934.94227855455,55.0,38.0,2.0
27632.258810408795,64.0,25.0,4.0
71635.08380459536,88.0,30.0,1.0
54044.666748561205,65.0,55.0,2.0
42289.80825642763,65.0,67.0,4.0
48272.74535983328,94.0,43.0,2.0
53189.93353271358,70.0,33.0,4.0
54112.90028916758,67.0,59.0,3.0
39107.025971060604,72.0,62.0,1.0
3647.3151273080402,94.0,52.0,4.0
57197.55976419507,88.0,61.0,3.0
43322.33984906333,97.0,32.0,2.0
86276.41233133189,58.0,32.0,4.0
61411.435987728786,71.0,71.0,2.0
15372.298396432545,82.0,75.0,2.0
98007.50677630724,69.0,63.0,3.0
23073.834796600848,92.0,44.0,2.0
30399.487643446817,86.0,63.0,4.0
70666.32264091594,54.0,71.0,5.0
18491.476894814947,54.0,46.0,3.0
88779.58320682296,51.0,27.0,4.0
10458.02914467291,73.0,52.0,2.0
96900.68346441671,53.0,52.0,4.0
17748.78769862551,51.0,73.0,5.0
60467.8667391705,73.0,74.0,2.0
52719.91556448103,65.0,54.0,4.0
73006.49600284919,95.0,55.0,3.0
2890.0052940645364,95.0,48.0,4.0
43318.55541445329,99.0,58.0,2.0
21157.303449313094,59.0,37.0,2.0
19585.090114475963,57.0,54.0,1.0
809.3135854345819,72.0,50.0,4.0
40762.99545237945,88.0,60.0,3.0
17840.64979814519,57.0,35.0,2.0
8390.119241229537,75.0,43.0,4.0
79413.70961930783,66.0,49.0,1.0
16031.678948405912,94.0,47.0,3.0
15505.205065906803,51.0,49.0,4.0
55032.20444734826,57.0,61.0,1.0
41804.311920522974,97.0,56.0,1.0
9047.266764461061,74.0,28.0,4.0
92216.30557868409,73.0,54.0,4.0
33255.530935652736,51.0,52.0,1.0
35201.07664963113,68.0,74.0,3.0
11324.572493483367,59.0,40.0,1.0
91034.46874724867,67.0,53.0,2.0
27561.71257028682,91.0,34.0,4.0
14825.43754801321,79.0,48.0,4.0
69110.41897717169,51.0,74.0,4.0
793.0864730877213,54.0,49.0,3.0
24335.515304826866,84.0,62.0,5.0
76603.79650535557,67.0,31.0,4.0
92920.53796712587,94.0,44.0,3.0
489.71167731331894,89.0,33.0,2.0
56355.41092905653,61.0,37.0,3.0
26580.47770909139,63.0,67.0,3.0
86030.9880090103,74.0,32.0,4.0
42079.638775826745,90.0,68.0,3.0
80956.69233242248,76.0,66.0,3.0
6041.41628772127,67.0,67.0,3.0
63412.92764871138,57.0,47.0,2.0
11087.67510524714,58.0,27.0,4.0
15577.579082718286,82.0,66.0,4.0
10308.971904637607,79.0,35.0,5.0
75434.75525752487,66.0,68.0,4.0
85711.09948012736,50.0,25.0,4.0
82199.56792428182,89.0,69.0,3.0
53289.6408497986,79.0,51.0,3.0
11449.602394157735,52.0,70.0,4.0
32387.51186081933,96.0,49.0,3.0
61407.75731957562,71.0,67.0,4.0
88601.51953844148,99.0,48.0,2.0
96599.13124299848,90.0,37.0,4.0
34190.793522958564,92.0,32.0,3.0
67831.73437238942,53.0,69.0,1.0
4004.5769242887072,96.0,73.0,5.0
27175.736520161427,57.0,49.0,3.0
78879.68437980872,79.0,40.0,3.0
31978.069965145158,53.0,71.0,4.0
91506.86980471456,50.0,31.0,4.0
30466.36192593832,90.0,70.0,3.0
60019.42434514651,96.0,60.0,3.0
47529.668163376424,58.0,57.0,2.0
94276.07335716623,82.0,44.0,2.0
22441.977788323642,82.0,25.0,2.0
54687.89092745406,54.0,34.0,2.0
55218.77333033433,92.0,28.0,4.0
17952.94796048771,73.0,53.0,5.0
66113.24990672106,64.0,64.0,3.0
88944.55978348076,86.0,58.0,1.0
74634.13994610147,88.0,69.0,5.0
75388.28045007629,59.0,43.0,2.0
94804.0898848584,92.0,27.0,1.0
48397.36067390479,64.0,70.0,4.0
79467.8032663996,74.0,60.0,4.0
14389.740598766299,89.0,44.0,2.0
18231.15600325404,68.0,46.0,2.0
54241.007212510594,97.0,44.0,3.0
60863.44924772273,87.0,34.0,4.0
55258.937344835635,66.0,30.0,4.0
71342.87412162194,65.0,29.0,3.0
88376.81051870638,80.0,39.0,3.0
62077.5719411533,89.0,64.0,5.0
89322.74906856711,68.0,50.0,2.0
84603.40752688573,64.0,39.0,2.0
19855.968568851127,98.0,64.0,4.0
60387.406083477785,62.0,63.0,2.0
62859.01551096879,64.0,35.0,4.0
2511.066817505844,83.0,66.0,5.0
17903.61591552632,51.0,25.0,3.0
81682.625933901,78.0,72.0,2.0
47916.29496088429,54.0,36.0,4.0
28561.647243732452,74.0,58.0,4.0
49035.851679329346,92.0,26.0,3.0
29370.93072313147,79.0,31.0,4.0
19045.27493759452,63.0,72.0,3.0
31382.51973285213,95.0,74.0,2.0
82018.34659170717,61.0,66.0,2.0
7450.409558264129,52.0,63.0,3.0
57807.51350719842,50.0,75.0,4.0
50828.039348007616,58.0,52.0,4.0
56408.98207631736,68.0,58.0,3.0
46166.54713012347,82.0,51.0,2.0
63121.88264769506,85.0,60.0,1.0
55479.383715163654,67.0,72.0,2.0
5922.250955866063,86.0,40.0,4.0
32461.921485240735,87.0,45.0,5.0
4530.504490879776,70.0,65.0,5.0
76443.48847205662,78.0,44.0,2.0
60130.11258487891,95.0,38.0,1.0
89542.56121988992,60.0,25.0,3.0
10897.96700276103,70.0,65.0,5.0
60296.263527456336,73.0,74.0,4.0
88471.23596126764,82.0,42.0,3.0
14127.711350828708,97.0,44.0,2.0
64845.873578303115,62.0,64.0,3.0
38514.45218941717,83.0,58.0,4.0
66119.27966435338,75.0,31.0,5.0
13425.879126440892,62.0,40.0,3.0
87701.2747822797,73.0,54.0,4.0
34145.844572261645,56.0,75.0,3.0
41316.03555363892,81.0,74.0,5.0
83775.36723593855,67.0,26.0,4.0
42528.00357728915,82.0,38.0,4.0
55673.493846004654,65.0,67.0,2.0
36390.61339306762,67.0,42.0,3.0
17274.50684522333,56.0,34.0,3.0
10445.445270791324,81.0,68.0,3.0
76852.60398062007,67.0,44.0,2.0
91349.38267525469,73.0,68.0,2.0
58103.73417764452,88.0,55.0,3.0
89191.82927926937,81.0,49.0,4.0
34743.0364144607,97.0,37.0,2.0
21096.49840968852,56.0,72.0,3.0
26076.158131046526,52.0,36.0,5.0
49566.753981240225,72.0,57.0,5.0
71015.08105602747,97.0,37.0,4.0
84519.11627968334,77.0,71.0,4.0
25487.429105819083,94.0,37.0,5.0
18175.505366103887,76.0,29.0,1.0
65864.011656153,71.0,60.0,3.0
67548.37614620132,64.0,60.0,4.0
85865.54340639368,84.0,72.0,3.0
34431.5632213097,84.0,58.0,4.0
85395.91427502518,97.0,56.0,4.0
29171.850302683204,83.0,40.0,3.0
68874.72472978443,94.0,34.0,1.0
73517.17606008139,55.0,75.0,1.0
35496.58272564227,64.0,56.0,1.0
33991.55247931675,83.0,26.0,2.0
89913.59564492783,93.0,26.0,1.0
97511.54376281191,54.0,60.0,4.0
37086.854563035544,70.0,59.0,2.0
2679.4262651913546,64.0,75.0,3.0
81905.67635698488,72.0,29.0,5.0
45164.46300472315,85.0,54.0,4.0
99221.09895077285,76.0,72.0,2.0
79113.15335259582,55.0,72.0,4.0
81225.49257172474,87.0,56.0,2.0
58992.73826563651,59.0,38.0,4.0
5465.253801018087,84.0,64.0,5.0
4733.0464996045985,66.0,43.0,2.0
64668.630900001786,57.0,68.0,5.0
85928.72122263459,90.0,45.0,2.0
71707.824849374,76.0,63.0,2.0
55436.23358454991,53.0,54.0,4.0
65334.88204020769,69.0,64.0,2.0
89126.70617430707,64.0,39.0,5.0
89635.35344447212,71.0,37.0,3.0
83952.28990885652,57.0,56.0,1.0
70655.67717620137,57.0,26.0,4.0
38284.3534870086,79.0,33.0,5.0
72708.19592538473,83.0,65.0,4.0
68344.5245740734,68.0,45.0,3.0
96260.27651224524,51.0,32.0,1.0
25551.246023621417,86.0,52.0,2.0
58971.05856310871,83.0,47.0,2.0
59144.179023914454,63.0,57.0,5.0
79112.27890113037,99.0,63.0,2.0
55447.75781236466,59.0,38.0,3.0
10694.308692184699,96.0,50.0,1.0
43139.65684964665,77.0,72.0,2.0
69328.26916185752,66.0,74.0,3.0
39839.69572372528,55.0,49.0,4.0
10427.219950783056,95.0,48.0,3.0
67989.50374190877,64.0,70.0,2.0
17264.825979468085,90.0,73.0,2.0
11864.236838422934,55.0,48.0,3.0
5319.559753033312,90.0,60.0,4.0
64688.789372354455,56.0,50.0,4.0
79224.26909739072,55.0,69.0,4.0
7002.402300312711,64.0,33.0,2.0
70345.04658273573,75.0,45.0,5.0
64622.504304437876,96.0,68.0,5.0
75717.3695741722,77.0,55.0,4.0
59078.166428717755,62.0,59.0,4.0
90813.2791298395,70.0,33.0,3.0
23771.06472241966,99.0,64.0,1.0
32730.2359595597,85.0,27.0,3.0
44458.091732327404,53.0,68.0,2.0
76556.94114214428,72.0,26.0,5.0
47931.22170270758,96.0,45.0,3.0
58917.280019087186,70.0,66.0,4.0
44307.45831069866,61.0,30.0,2.0
71489.09129830611,81.0,66.0,5.0
51775.583518345724,62.0,59.0,4.0
9631.759599975134,88.0,56.0,1.0
97299.13506898624,82.0,28.0,1.0
10662.168406129946,72.0,44.0,3.0
11074.25703112867,66.0,73.0,1.0
73868.2943895369,81.0,73.0,1.0
75350.14557714574,83.0,71.0,3.0
27534.767448809176,93.0,67.0,4.0
73719.39119501242,63.0,74.0,3.0
73044.83584089474,55.0,66.0,4.0
24745.24073541564,71.0,74.0,1.0
84877.8450607287,55.0,65.0,3.0
75206.1559360203,69.0,27.0,3.0
19768.488886858348,80.0,56.0,5.0
65065.21573941571,56.0,58.0,1.0
60245.6926143126,54.0,74.0,4.0
81648.89964455213,65.0,64.0,2.0
53563.96108887467,55.0,59.0,3.0
17401.77514598352,78.0,48.0,4.0
14177.755778089422,55.0,72.0,4.0
65666.10690629603,79.0,74.0,2.0
92570.59774962177,52.0,66.0,5.0
9827.840929524351,66.0,60.0,2.0
37981.30434140489,52.0,67.0,4.0
23019.191017404184,67.0,42.0,5.0
46387.43652061061,68.0,36.0,4.0
13958.104129000712,69.0,67.0,4.0
89913.77527341881,85.0,36.0,4.0
97410.07660815354,93.0,28.0,2.0
35518.16817642464,66.0,69.0,1.0
66010.39609655205,71.0,30.0,4.0
53410.935326869876,85.0,48.0,5.0
44025.35223290752,95.0,63.0,4.0
24213.966031344615,58.0,25.0,1.0
77672.56868487202,72.0,45.0,2.0
63389.41820262864,52.0,58.0,3.0
49317.74389285738,67.0,70.0,2.0
80636.69401447033,89.0,61.0,4.0
39240.52530153394,68.0,54.0,1.0
42334.12389608522,51.0,54.0,4.0
50507.71152106241,76.0,41.0,3.0
74260.4274573406,89.0,70.0,5.0
18637.498226298918,52.0,71.0,1.0
65442.154852176354,67.0,54.0,4.0
19703.3413402132,95.0,40.0,4.0
68315.47075283289,63.0,55.0,2.0
29064.219502371594,84.0,51.0,2.0
24590.22262538814,62.0,27.0,3.0
44079.69460469117,97.0,44.0,2.0
38143.7163095272,53.0,67.0,4.0
77794.45303578985,93.0,29.0,4.0
45715.63641987659,85.0,40.0,2.0
36832.473397886584,87.0,28.0,3.0
58667.42710175352,52.0,42.0,4.0
63464.24619176452,83.0,52.0,5.0
55872.44314732431,89.0,73.0,4.0
25037.461163064567,82.0,64.0,4.0
24577.549409627416,50.0,74.0,2.0
41605.948830539506,69.0,51.0,4.0
67518.58702816085,77.0,50.0,2.0
28793.317237496645,92.0,39.0,4.0
68802.45857421668,72.0,48.0,4.0
73170.22376318603,77.0,67.0,2.0
40146.059690393544,82.0,57.0,2.0
55759.929105927906,56.0,46.0,3.0
56721.67065108841,70.0,32.0,1.0
85929.22923187507,62.0,30.0,2.0
65625.39836712537,73.0,71.0,5.0
82754.04437297606,77.0,71.0,2.0
47393.330542465104,77.0,52.0,5.0
81794.27455061911,78.0,49.0,1.0
93946.46100824459,68.0,33.0,4.0
60647.53499738202,52.0,31.0,2.0
67870.06755393621,77.0,72.0,3.0
70913.80327075154,85.0,41.0,5.0
82928.06536760391,94.0,45.0,2.0
88576.31393824672,76.0,74.0,5.0
26034.467471331678,54.0,30.0,2.0
71733.10617051154,63.0,27.0,2.0
85503.11377614197,95.0,55.0,2.0
64606.382501491404,77.0,65.0,2.0
95889.32492211828,61.0,27.0,2.0
53269.5874802538,96.0,39.0,4.0
57814.85968399952,51.0,47.0,1.0
97988.34266340006,71.0,61.0,1.0
36430.311696459255,70.0,51.0,4.0
88444.44485246851,82.0,42.0,1.0
75974.33152140975,79.0,62.0,4.0
47091.674361037774,67.0,31.0,4.0
6557.749575807276,79.0,47.0,2.0
89743.63670192254,52.0,55.0,3.0
18357.43158480305,85.0,38.0,3.0
56645.86429845716,59.0,46.0,3.0
97652.6631947712,57.0,41.0,5.0
32766.477449232658,66.0,44.0,1.0
66555.75477428177,84.0,51.0,5.0
70499.33617387048,80.0,71.0,4.0
23610.207631999852,96.0,60.0,3.0
87230.4330906885,99.0,56.0,4.0
66740.01992778589,96.0,65.0,4.0
67016.00592445364,91.0,42.0,2.0
16045.691774245031,97.0,35.0,2.0
1992.352307685214,88.0,54.0,5.0
76730.17248803328,69.0,60.0,3.0
34835.961525967454,58.0,30.0,3.0
74629.24120248118,61.0,62.0,2.0
34318.839756538175,63.0,45.0,3.0
48453.66296372793,54.0,52.0,5.0
37613.476595382876,76.0,63.0,3.0
48147.27381799961,78.0,57.0,5.0
68141.78774299091,82.0,73.0,5.0
91103.21044568921,61.0,63.0,4.0
4508.893907175741,72.0,48.0,2.0
9044.944374146151,55.0,44.0,3.0
10524.859019490475,53.0,55.0,3.0
2964.1306319690157,87.0,59.0,2.0
88885.2003416998,94.0,43.0,2.0
64403.75503857356,72.0,51.0,2.0
17686.92349821855,64.0,68.0,4.0
87846.05864997013,57.0,40.0,4.0
25950.0230694486,61.0,46.0,4.0
64564.6059688716,83.0,28.0,5.0
7301.484514022676,60.0,70.0,2.0
10882.075004719429,66.0,35.0,4.0
29601.05275324374,59.0,29.0,5.0
28892.14669526934,88.0,68.0,3.0
9439.178855056518,76.0,67.0,3.0
28837.04677970233,62.0,29.0,2.0
60110.13887078586,80.0,39.0,2.0
82965.36724485055,94.0,44.0,3.0
35744.67617526865,54.0,41.0,3.0
9165.903286401472,59.0,42.0,4.0
64051.556987139804,64.0,61.0,1.0
16031.98443444473,53.0,71.0,3.0
32386.049545694634,95.0,42.0,5.0
13204.507957831343,53.0,55.0,2.0
82928.27560162355,74.0,63.0,4.0
4840.747761028006,87.0,60.0,3.0
89930.20611848068,81.0,40.0,3.0
37188.37190619035,51.0,59.0,2.0
2906.906099881483,90.0,72.0,1.0
39703.53423325399,51.0,53.0,5.0
64534.61141875478,83.0,45.0,3.0
8773.628240814718,63.0,74.0,4.0
57698.31189638426,74.0,25.0,4.0
46293.8328505542,53.0,57.0,3.0
60676.91305097,95.0,37.0,4.0
54823.5998998313,64.0,32.0,3.0
30953.798440627288,68.0,59.0,4.0
81616.75906913758,66.0,65.0,4.0
3293.2685020797066,98.0,29.0,3.0
95668.11220183049,96.0,45.0,3.0
65518.33000024528,82.0,37.0,4.0
54632.0289719741,73.0,53.0,4.0
59317.17416909393,89.0,36.0,4.0
88458.6742751404,69.0,28.0,3.0
54188.7016004611,59.0,52.0,1.0
21338.23842734935,72.0,50.0,4.0
53628.31432342151,89.0,30.0,1.0
86041.92931769147,93.0,29.0,4.0
74574.09798683049,76.0,59.0,5.0
80449.68400673383,68.0,67.0,1.0
54671.12711759101,50.0,65.0,3.0
34034.27247027581,62.0,57.0,5.0
32217.61286708175,55.0,75.0,2.0
72319.94410546173,83.0,60.0,3.0
89070.16922841711,66.0,33.0,2.0
3737.1728614303524,71.0,43.0,4.0
18385.531821364406,85.0,38.0,3.0
45953.75651397923,74.0,26.0,3.0
8984.526249277686,61.0,35.0,4.0
71155.33902210563,90.0,55.0,1.0
77581.40702840319,80.0,63.0,3.0
5385.604806138389,65.0,31.0,5.0
11352.785508672194,66.0,58.0,1.0
15133.163495118695,97.0,68.0,2.0
43129.491500534896,56.0,69.0,3.0
46345.56238292441,64.0,70.0,4.0
5670.093547819747,73.0,49.0,5.0
66376.54429400314,53.0,71.0,2.0
93475.6955675672,92.0,72.0,4.0
75048.43310841813,85.0,59.0,3.0
27015.80221990243,97.0,44.0,2.0
40067.69491121846,62.0,72.0,5.0
34589.328123695304,92.0,41.0,2.0
45720.28604005681,87.0,38.0,3.0
3979.5368668412975,63.0,53.0,2.0
42432.53945302864,57.0,34.0,3.0
39199.54937402307,55.0,67.0,5.0
86391.38468193101,70.0,35.0,3.0
44608.543194572965,86.0,26.0,5.0
46413.30634682,54.0,62.0,3.0
71.11178012554923,64.0,53.0,4.0
77074.53449004024,90.0,26.0,2.0
92943.08861121346,74.0,51.0,2.0
80722.62117313781,88.0,39.0,4.0
63751.12042644301,87.0,71.0,2.0
41608.883382881264,63.0,60.0,3.0
73657.52655492103,66.0,67.0,2.0
55038.495879041584,66.0,69.0,3.0
67180.68775388789,77.0,38.0,4.0
70389.75392885071,61.0,72.0,5.0
62739.86765060204,86.0,46.0,2.0
56271.57932092429,63.0,36.0,4.0
74288.83635822004,90.0,52.0,1.0
63535.677147469614,69.0,63.0,3.0
87348.04742197959,60.0,32.0,1.0
69759.7652449852,77.0,30.0,5.0
28949.42242317693,60.0,71.0,4.0
91381.19950614478,81.0,42.0,4.0
62254.52534968746,81.0,57.0,5.0
71416.54987695513,85.0,63.0,2.0
50826.207447764624,93.0,64.0,3.0
42322.69323573781,65.0,32.0,3.0
65262.40313414286,66.0,59.0,5.0
71741.70307231699,88.0,49.0,3.0
79706.63952298049,59.0,64.0,5.0
28344.64302148688,70.0,39.0,2.0
3804.9662468622582,65.0,72.0,1.0
33173.30264579632,88.0,51.0,1.0
74240.69655943863,71.0,45.0,1.0
81711.29460258276,95.0,55.0,3.0
4168.013900440704,74.0,58.0,3.0
70446.67514297646,51.0,46.0,2.0
15453.653728481655,83.0,59.0,2.0
32996.8660898471,74.0,53.0,2.0
75305.96492723483,79.0,64.0,5.0
75875.16975319531,55.0,61.0,2.0
63674.23335141256,81.0,34.0,1.0
29860.11099555357,82.0,51.0,5.0
60614.30749096594,52.0,70.0,2.0
87042.38487007564,50.0,74.0,3.0
55666.75358466153,73.0,58.0,4.0
32950.72020601351,85.0,68.0,2.0
77769.04050725768,90.0,43.0,1.0
92399.69601682239,82.0,28.0,1.0
54324.43646750754,89.0,26.0,5.0
48146.23705800172,84.0,57.0,3.0
50816.425953824895,53.0,42.0,5.0
77684.4388468243,87.0,69.0,2.0
