mean_d-greater-s,mean_count turtles with [moved? = TRUE],mean_sprout-count,min_d-greater-s,min_count turtles with [moved? = TRUE],min_sprout-count,last_d-greater-s,last_count turtles with [moved? = TRUE],last_sprout-count,sd_d-greater-s,sd_count turtles with [moved? = TRUE],sd_sprout-count,trend_d-greater-s,trend_count turtles with [moved? = TRUE],trend_sprout-count,max_d-greater-s,max_count turtles with [moved? = TRUE],max_sprout-count,snap_100_d-greater-s,snap_100_count turtles with [moved? = TRUE],snap_100_sprout-count,snap_200_d-greater-s,snap_200_count turtles with [moved? = TRUE],snap_200_sprout-count,snap_300_d-greater-s,snap_300_count turtles with [moved? = TRUE],snap_300_sprout-count,snap_400_d-greater-s,snap_400_count turtles with [moved? = TRUE],snap_400_sprout-count,snap_500_d-greater-s,snap_500_count turtles with [moved? = TRUE],snap_500_sprout-count,snap_600_d-greater-s,snap_600_count turtles with [moved? = TRUE],snap_600_sprout-count,snap_700_d-greater-s,snap_700_count turtles with [moved? = TRUE],snap_700_sprout-count,snap_800_d-greater-s,snap_800_count turtles with [moved? = TRUE],snap_800_sprout-count,snap_900_d-greater-s,snap_900_count turtles with [moved? = TRUE],snap_900_sprout-count
14.239,995.972,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,67.54664965044554,38.78132560911341,0.0,-0.08167135567135562,0.02382508782508837,0.0,570.0,1000.0,0.0,2.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0
241.23,701.057,897.827,0.0,0.0,0.0,156.0,947.0,1226.0,129.65757633088748,287.04070051301136,426.39409830695064,-0.3379366099366101,0.9032627972627978,1.306942384942385,584.0,948.0,1226.0,574.0,160.0,0.0,207.0,335.0,524.0,260.0,519.0,785.0,247.0,686.0,959.0,191.0,899.0,1173.0,164.0,935.0,1212.0,164.0,944.0,1222.0,157.0,946.0,1225.0,157.0,947.0,1226.0
20.885,5.158,1622.036,0.0,0.0,0.0,9.0,0.0,3386.0,38.76069884560888,51.58729529642124,1086.9824325645748,-0.06049193449193454,-0.030531474531474513,3.753160041160041,545.0,846.0,3386.0,72.0,0.0,0.0,4.0,1.0,425.0,15.0,0.0,942.0,13.0,0.0,1238.0,14.0,0.0,1714.0,16.0,0.0,2026.0,10.0,0.0,2430.0,8.0,0.0,2747.0,7.0,0.0,3087.0
958.122,620.955,1754.635,0.0,0.0,0.0,1000.0,873.0,2999.0,78.392723616417,204.5024277973246,962.3903354538636,0.1899758619758617,0.6600179700179701,3.258723000723,1000.0,879.0,2999.0,830.0,157.0,0.0,915.0,417.0,749.0,997.0,527.0,1273.0,996.0,637.0,1676.0,996.0,669.0,1961.0,996.0,715.0,2246.0,1000.0,765.0,2500.0,997.0,806.0,2704.0,999.0,847.0,2867.0
31.504,996.205,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,122.89895029657603,36.55110087261344,0.0,-0.17744441744441744,0.02239153639153609,0.0,769.0,1000.0,0.0,20.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0
74.472,192.285,1429.706,0.0,0.0,0.0,57.0,206.0,3098.0,58.8562929175802,53.67716250883608,998.8436221771655,-0.08716993516993515,0.03670462270462293,3.449191853191853,584.0,858.0,3098.0,72.0,142.0,0.0,94.0,178.0,298.0,73.0,187.0,776.0,68.0,196.0,1076.0,39.0,201.0,1463.0,56.0,190.0,1803.0,60.0,218.0,2162.0,59.0,198.0,2483.0,58.0,209.0,2798.0
824.987,826.587,934.849,0.0,0.0,0.0,654.0,992.0,1371.0,118.21674513790335,165.10374444875572,455.4371792014789,-0.3648247668247668,0.5080774420774422,1.462844212844213,1000.0,993.0,1371.0,1000.0,418.0,0.0,950.0,737.0,564.0,925.0,739.0,769.0,894.0,866.0,994.0,870.0,877.0,1109.0,803.0,904.0,1206.0,732.0,946.0,1289.0,688.0,972.0,1337.0,662.0,989.0,1363.0
11.117,992.156,0.0,0.0,0.0,0.0,0.0,981.0,0.0,57.274752823562224,36.79945195244066,0.0,-0.06406161406161405,0.006125478125478429,0.0,568.0,1000.0,0.0,3.0,1000.0,0.0,0.0,1000.0,0.0,0.0,999.0,0.0,0.0,1000.0,0.0,0.0,997.0,0.0,0.0,992.0,0.0,0.0,988.0,0.0,0.0,991.0,0.0,0.0,988.0,0.0
944.563,761.409,1144.797,0.0,0.0,0.0,945.0,911.0,1954.0,37.49992041324888,122.13394171564292,617.1461689024734,-0.0016387516387524105,0.38040578640578643,2.0888773988773996,974.0,911.0,1954.0,962.0,466.0,0.0,958.0,633.0,522.0,938.0,738.0,864.0,953.0,764.0,1076.0,950.0,788.0,1277.0,958.0,815.0,1458.0,925.0,844.0,1621.0,938.0,873.0,1749.0,939.0,889.0,1862.0
59.575,16.539,1721.827,0.0,0.0,0.0,8.0,5.0,3603.0,94.75873772375836,61.49720708292365,1136.3375673940377,-0.23549058149058136,-0.05857416457416454,3.926445068445067,589.0,863.0,3603.0,259.0,9.0,0.0,74.0,25.0,522.0,32.0,14.0,982.0,27.0,7.0,1359.0,15.0,5.0,1802.0,10.0,5.0,2139.0,14.0,5.0,2542.0,6.0,9.0,2909.0,7.0,7.0,3247.0
338.384,5.681,2174.918,0.0,0.0,0.0,420.0,0.0,5178.0,78.99981356940023,53.02187509886819,1628.5698662556665,0.22984720984721,-0.03193700593700601,5.615421023421022,601.0,871.0,5178.0,184.0,0.0,0.0,250.0,0.0,416.0,331.0,0.0,942.0,338.0,0.0,1476.0,387.0,1.0,2081.0,358.0,1.0,2679.0,352.0,0.0,3273.0,402.0,0.0,3893.0,421.0,0.0,4546.0
72.884,4.908,1756.65,0.0,0.0,0.0,5.0,0.0,3468.0,157.39094810058162,50.79064417783857,1072.6964778072095,-0.3281154881154879,-0.028946752946752894,3.7038425478425476,556.0,862.0,3468.0,494.0,0.0,0.0,24.0,0.0,686.0,15.0,0.0,1030.0,17.0,0.0,1484.0,16.0,0.0,1838.0,9.0,0.0,2202.0,15.0,0.0,2533.0,6.0,0.0,2859.0,6.0,0.0,3172.0
11.014,3.818,1835.275,0.0,0.0,0.0,29.0,0.0,4155.0,29.996629877371305,46.61575780784927,1328.465119367081,0.01330030930030925,-0.02272383472383473,4.5864090084090074,575.0,860.0,4155.0,0.0,0.0,0.0,3.0,0.0,333.0,3.0,0.0,923.0,2.0,0.0,1284.0,6.0,0.0,1822.0,8.0,0.0,2294.0,16.0,0.0,2768.0,22.0,0.0,3241.0,22.0,0.0,3685.0
15.731,644.727,578.487,0.0,0.0,0.0,0.0,832.0,776.0,41.45880653130337,294.39175679866014,308.0259499311712,-0.05663252663252649,0.8022217842217843,0.8638379578379579,581.0,852.0,776.0,1.0,58.0,0.0,55.0,195.0,140.0,48.0,719.0,663.0,7.0,805.0,750.0,7.0,823.0,767.0,0.0,828.0,773.0,1.0,832.0,776.0,0.0,832.0,776.0,0.0,832.0,776.0
41.004,7.682,1665.078,0.0,0.0,0.0,7.0,0.0,3417.0,72.8227847860818,56.885541888953455,1089.2977535623586,-0.1612304212304212,-0.0444104844104843,3.763176151176151,565.0,833.0,3417.0,197.0,2.0,0.0,39.0,1.0,519.0,20.0,0.0,964.0,10.0,0.0,1292.0,6.0,0.0,1754.0,10.0,0.0,2081.0,13.0,0.0,2470.0,10.0,0.0,2794.0,7.0,0.0,3133.0
370.283,819.971,0.0,0.0,0.0,0.0,357.0,793.0,0.0,36.720905639703375,36.59459193651425,0.0,-0.06037209037209032,-0.03720185520185393,0.0,590.0,920.0,0.0,397.0,855.0,0.0,368.0,806.0,0.0,363.0,816.0,0.0,355.0,818.0,0.0,356.0,812.0,0.0,353.0,830.0,0.0,351.0,819.0,0.0,340.0,827.0,0.0,357.0,800.0,0.0
968.344,594.564,1920.082,0.0,0.0,0.0,999.0,855.0,3228.0,59.68014463789415,223.34720930425786,1040.4208539221045,0.1373030933030923,0.7217485577485577,3.51008529008529,1000.0,859.0,3228.0,890.0,116.0,0.0,929.0,323.0,805.0,990.0,496.0,1439.0,997.0,604.0,1873.0,993.0,669.0,2183.0,997.0,679.0,2435.0,999.0,760.0,2728.0,1000.0,809.0,2943.0,998.0,838.0,3104.0
6.842,998.167,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,48.57531303038437,33.12689407415004,0.0,-0.04008948408948408,0.010949848949848828,0.0,569.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,1.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0
9.098,597.726,584.222,0.0,0.0,0.0,0.0,797.0,792.0,31.053315378554906,307.52368839489594,317.0030168878527,-0.03138004338004338,0.843890535890536,0.8963473883473884,561.0,857.0,792.0,0.0,6.0,0.0,31.0,116.0,114.0,30.0,674.0,670.0,3.0,760.0,755.0,1.0,782.0,777.0,2.0,794.0,789.0,0.0,796.0,791.0,1.0,797.0,792.0,0.0,797.0,792.0
716.46,934.128,229.769,0.0,0.0,0.0,658.0,1000.0,296.0,102.00868786529786,111.72620827719842,107.34660515824372,-0.2589545709545712,0.29648189648189693,0.2948991128991129,963.0,1000.0,296.0,935.0,692.0,0.0,786.0,864.0,153.0,691.0,960.0,255.0,667.0,993.0,286.0,662.0,996.0,291.0,658.0,998.0,294.0,660.0,999.0,294.0,659.0,999.0,295.0,658.0,1000.0,296.0
163.652,5.705,1904.782,0.0,0.0,0.0,294.0,0.0,4428.0,96.29458393907743,53.992036218318304,1398.8231848507507,0.30551561351561357,-0.033451539451539454,4.827003507003506,573.0,864.0,4428.0,25.0,0.0,0.0,70.0,1.0,356.0,83.0,0.0,923.0,128.0,0.0,1342.0,163.0,0.0,1844.0,212.0,0.0,2361.0,230.0,0.0,2841.0,259.0,1.0,3359.0,295.0,0.0,3906.0
92.332,996.403,0.0,0.0,0.0,0.0,73.0,1000.0,0.0,106.15084444317884,36.23112737688326,0.0,-0.13725104925104917,0.021253395253394702,0.0,758.0,1000.0,0.0,96.0,1000.0,0.0,68.0,1000.0,0.0,80.0,1000.0,0.0,66.0,1000.0,0.0,68.0,1000.0,0.0,74.0,1000.0,0.0,76.0,1000.0,0.0,60.0,1000.0,0.0,66.0,1000.0,0.0
602.983,13.229,3017.935,0.0,0.0,0.0,684.0,5.0,6602.0,74.8537421309048,52.46940593336255,2018.0958646147112,0.09788867588867585,-0.02909002709002711,6.979284661284661,732.0,878.0,6602.0,731.0,0.0,0.0,562.0,6.0,880.0,518.0,5.0,1616.0,501.0,3.0,2350.0,545.0,10.0,2996.0,609.0,12.0,3615.0,642.0,7.0,4377.0,657.0,8.0,5143.0,677.0,8.0,5872.0
724.629,218.172,2075.169,0.0,0.0,0.0,705.0,29.0,5263.0,40.07127847972904,196.67271395900335,1631.2485238120535,-0.06374784974784946,-0.6352025272025271,5.584278766278767,825.0,834.0,5263.0,808.0,535.0,0.0,776.0,453.0,375.0,737.0,372.0,796.0,728.0,241.0,1252.0,731.0,113.0,1799.0,721.0,64.0,2426.0,681.0,50.0,3110.0,697.0,35.0,3829.0,703.0,34.0,4551.0
554.756,26.897,2849.877,0.0,0.0,0.0,623.0,26.0,6297.0,78.73382033154502,61.07716750963516,1935.7264992428545,0.15758698958698936,-0.04292888492888478,6.695347325347326,652.0,865.0,6297.0,611.0,0.0,0.0,454.0,14.0,818.0,446.0,16.0,1497.0,479.0,15.0,2161.0,537.0,34.0,2792.0,587.0,17.0,3450.0,611.0,14.0,4178.0,613.0,13.0,4901.0,632.0,18.0,5608.0
97.572,4.834,1890.539,0.0,0.0,0.0,22.0,0.0,3711.0,171.26994136742118,48.859988170282264,1151.9867562081606,-0.3670943830943831,-0.02838697638697641,3.977030375030375,595.0,847.0,3711.0,560.0,0.0,0.0,56.0,0.0,724.0,36.0,0.0,1099.0,39.0,0.0,1597.0,36.0,0.0,1971.0,33.0,0.0,2359.0,31.0,0.0,2733.0,16.0,0.0,3068.0,21.0,0.0,3414.0
450.628,628.661,1205.257,0.0,0.0,0.0,220.0,854.0,1864.0,161.2512871762579,207.53552967865542,640.671353309169,-0.5043380523380525,0.6766336186336188,2.118861408861409,653.0,858.0,1864.0,653.0,203.0,0.0,536.0,376.0,546.0,596.0,548.0,901.0,620.0,605.0,1173.0,539.0,678.0,1421.0,398.0,758.0,1628.0,307.0,784.0,1740.0,246.0,836.0,1819.0,222.0,851.0,1853.0
162.545,73.222,1401.895,0.0,0.0,0.0,64.0,66.0,2993.0,130.5753038480092,55.955167017890254,961.440857242399,-0.3864539844539843,-0.07369528969528995,3.3205565785565785,573.0,846.0,2993.0,419.0,81.0,0.0,318.0,88.0,275.0,173.0,64.0,795.0,91.0,65.0,1057.0,101.0,68.0,1440.0,88.0,52.0,1785.0,65.0,59.0,2091.0,63.0,58.0,2423.0,72.0,54.0,2699.0
82.075,24.736,2024.839,0.0,0.0,0.0,10.0,19.0,4204.0,132.97983070751664,60.99373987549863,1302.2699355659706,-0.31008538008538006,-0.0530882330882331,4.505147471147471,628.0,853.0,4204.0,414.0,0.0,0.0,81.0,34.0,725.0,37.0,19.0,1137.0,26.0,24.0,1595.0,24.0,18.0,2064.0,20.0,12.0,2500.0,24.0,17.0,2942.0,25.0,20.0,3394.0,10.0,13.0,3805.0
2.381,4.19,1442.923,0.0,0.0,0.0,0.0,0.0,3079.0,27.381268031265886,49.15733821109682,1007.8578823777682,-0.011424569424569441,-0.02492677292677301,3.4766235386235387,583.0,867.0,3079.0,0.0,0.0,0.0,1.0,0.0,247.0,0.0,0.0,809.0,1.0,0.0,1055.0,0.0,0.0,1521.0,1.0,0.0,1832.0,1.0,0.0,2190.0,1.0,0.0,2501.0,0.0,0.0,2815.0
312.697,596.619,825.278,0.0,0.0,0.0,266.0,831.0,1176.0,124.92735965752269,194.2158279826852,375.78128840590165,-0.23582024582024574,0.6267988167988169,1.1638124158124157,648.0,844.0,1176.0,648.0,156.0,0.0,241.0,394.0,540.0,233.0,530.0,818.0,262.0,549.0,873.0,270.0,625.0,962.0,276.0,700.0,1038.0,278.0,750.0,1091.0,268.0,783.0,1127.0,264.0,811.0,1156.0
962.136,602.96,1861.435,0.0,0.0,0.0,995.0,855.0,3157.0,71.93489767838658,218.46994850550942,1012.2781741077895,0.17048180648180686,0.7001502161502162,3.420157746157745,1000.0,855.0,3157.0,852.0,110.0,0.0,915.0,352.0,795.0,999.0,524.0,1382.0,998.0,635.0,1803.0,998.0,662.0,2085.0,1000.0,706.0,2386.0,999.0,760.0,2650.0,997.0,821.0,2868.0,999.0,835.0,3011.0
994.936,694.765,1484.534,0.0,0.0,0.0,999.0,883.0,2505.0,37.553853384173586,158.43777887549402,796.6383526067527,0.01804612204612286,0.5036586536586537,2.6873771753771756,1000.0,887.0,2505.0,1000.0,326.0,0.0,999.0,512.0,660.0,998.0,621.0,1120.0,995.0,713.0,1454.0,998.0,735.0,1670.0,998.0,764.0,1881.0,1000.0,815.0,2100.0,998.0,849.0,2268.0,999.0,862.0,2395.0
41.597,4.803,1852.618,0.0,0.0,0.0,111.0,0.0,4139.0,44.987026918879664,49.71726250508825,1318.0922433866301,0.09321085521085526,-0.028474486474486388,4.552198576198577,541.0,843.0,4139.0,0.0,0.0,0.0,16.0,0.0,371.0,5.0,0.0,944.0,14.0,0.0,1361.0,26.0,0.0,1862.0,37.0,0.0,2334.0,56.0,0.0,2777.0,64.0,0.0,3253.0,89.0,0.0,3679.0
411.228,52.873,2349.068,0.0,0.0,0.0,461.0,13.0,5469.0,55.38454672559847,81.2758812379171,1712.747468068775,0.08444707244707253,-0.18633162033162026,5.911551667551667,545.0,857.0,5469.0,393.0,163.0,0.0,366.0,81.0,453.0,474.0,28.0,1051.0,381.0,23.0,1652.0,391.0,9.0,2244.0,406.0,13.0,2904.0,405.0,20.0,3536.0,433.0,15.0,4152.0,473.0,11.0,4809.0
234.192,664.207,566.3,0.0,0.0,0.0,135.0,667.0,669.0,211.55788129020377,138.86372510846772,218.6602295800496,-0.4850747570747569,0.17688527088527112,0.5056446136446135,805.0,837.0,669.0,804.0,219.0,0.0,205.0,744.0,599.0,157.0,781.0,647.0,146.0,761.0,658.0,140.0,744.0,664.0,137.0,708.0,667.0,135.0,691.0,669.0,135.0,675.0,669.0,135.0,666.0,669.0
981.31,644.644,1714.067,0.0,0.0,0.0,999.0,872.0,2875.0,55.31572922777028,198.55237410819342,914.0641665173179,0.08957882957882965,0.6295648855648851,3.0786995526995526,1000.0,874.0,2875.0,953.0,170.0,0.0,996.0,432.0,797.0,996.0,607.0,1318.0,994.0,661.0,1643.0,999.0,696.0,1931.0,998.0,750.0,2202.0,995.0,797.0,2429.0,998.0,831.0,2598.0,998.0,841.0,2737.0
911.651,480.115,2294.42,0.0,0.0,0.0,995.0,799.0,4039.0,134.36924201244867,252.1973548136458,1317.2102214908598,0.3557485457485463,0.8226081846081847,4.481414393414393,1000.0,851.0,4039.0,667.0,0.0,0.0,807.0,146.0,840.0,977.0,364.0,1610.0,986.0,500.0,2150.0,980.0,508.0,2554.0,985.0,615.0,2986.0,987.0,665.0,3321.0,993.0,726.0,3606.0,990.0,769.0,3838.0
9.77,933.003,0.0,0.0,0.0,0.0,0.0,918.0,0.0,56.41490140024996,40.05854454420424,0.0,-0.05629132429132425,-0.05642653442653357,0.0,582.0,1000.0,0.0,8.0,982.0,0.0,0.0,954.0,0.0,0.0,924.0,0.0,0.0,925.0,0.0,0.0,924.0,0.0,0.0,915.0,0.0,0.0,926.0,0.0,0.0,912.0,0.0,0.0,931.0,0.0
65.532,997.334,0.0,0.0,0.0,0.0,51.0,1000.0,0.0,78.15336829593379,34.46810763589857,0.0,-0.08410952410952409,0.0158383838383837,0.0,673.0,1000.0,0.0,48.0,1000.0,0.0,51.0,1000.0,0.0,51.0,1000.0,0.0,51.0,1000.0,0.0,51.0,1000.0,0.0,51.0,1000.0,0.0,51.0,1000.0,0.0,51.0,1000.0,0.0,51.0,1000.0,0.0
729.456,21.808,3172.431,0.0,0.0,0.0,841.0,13.0,6984.0,78.07641170033381,57.132295035295215,2127.784544835074,0.1928225768225765,-0.034083154083154085,7.357062631062631,847.0,861.0,6984.0,776.0,0.0,0.0,643.0,12.0,904.0,676.0,11.0,1717.0,663.0,15.0,2501.0,685.0,30.0,3188.0,741.0,16.0,3768.0,774.0,8.0,4584.0,803.0,11.0,5425.0,825.0,18.0,6199.0
34.991,583.93,534.743,0.0,0.0,0.0,1.0,746.0,729.0,66.57791615092823,243.14807237566205,287.562780886193,-0.1191789891789891,0.6495855375855374,0.8267007047007047,556.0,869.0,729.0,3.0,96.0,0.0,79.0,156.0,129.0,139.0,595.0,576.0,31.0,699.0,682.0,6.0,732.0,715.0,2.0,738.0,721.0,2.0,744.0,727.0,0.0,746.0,729.0,1.0,746.0,729.0
212.986,680.769,834.933,0.0,0.0,0.0,122.0,940.0,1169.0,147.58555418468245,266.6685426498598,395.8553934342705,-0.37713046113046084,0.8638387738387743,1.2365427305427303,589.0,940.0,1169.0,589.0,148.0,0.0,199.0,389.0,532.0,185.0,572.0,793.0,182.0,604.0,830.0,160.0,741.0,970.0,142.0,892.0,1122.0,127.0,929.0,1159.0,122.0,936.0,1165.0,122.0,937.0,1166.0
994.075,806.346,921.538,0.0,0.0,0.0,1000.0,917.0,1574.0,41.07485088226138,96.77365490669455,502.5847695225158,0.026802824802824917,0.3049054729054727,1.7009144969144963,1000.0,922.0,1574.0,1000.0,593.0,0.0,1000.0,687.0,397.0,998.0,774.0,690.0,994.0,807.0,881.0,997.0,818.0,1031.0,997.0,853.0,1180.0,1000.0,885.0,1313.0,997.0,899.0,1416.0,1000.0,909.0,1502.0
233.433,595.136,756.644,0.0,0.0,0.0,104.0,913.0,1198.0,162.72676949721549,240.6997289238189,413.29831993851565,-0.46980259980260003,0.8014379614379615,1.3455556095556098,576.0,913.0,1198.0,568.0,181.0,0.0,407.0,293.0,270.0,202.0,510.0,698.0,152.0,538.0,801.0,147.0,587.0,862.0,149.0,691.0,974.0,137.0,790.0,1074.0,119.0,857.0,1143.0,107.0,891.0,1175.0
995.098,711.97,1369.385,0.0,0.0,0.0,997.0,875.0,2362.0,37.6352812663866,135.8773899513824,750.7806262650896,0.01741170541170566,0.4308800748800752,2.547716457716457,1000.0,880.0,2362.0,1000.0,390.0,0.0,1000.0,556.0,596.0,1000.0,654.0,1003.0,997.0,716.0,1299.0,995.0,752.0,1527.0,996.0,755.0,1733.0,999.0,811.0,1951.0,998.0,853.0,2123.0,998.0,867.0,2246.0
968.209,606.453,1840.966,0.0,0.0,0.0,997.0,851.0,3142.0,62.70122262763259,203.6965384855619,1008.7588159931987,0.14191352791352835,0.6574183714183713,3.4151528951528953,1000.0,853.0,3142.0,879.0,150.0,0.0,936.0,374.0,783.0,998.0,520.0,1358.0,995.0,631.0,1767.0,996.0,657.0,2064.0,998.0,691.0,2353.0,999.0,760.0,2626.0,997.0,802.0,2837.0,1000.0,829.0,3003.0
976.728,617.439,1825.31,0.0,0.0,0.0,998.0,854.0,3083.0,51.69212721488575,203.88194201301891,984.785705572537,0.10240204240204309,0.6565006585006584,3.323460863460863,1000.0,857.0,3083.0,919.0,170.0,0.0,960.0,375.0,782.0,998.0,541.0,1368.0,998.0,622.0,1768.0,986.0,682.0,2080.0,995.0,708.0,2320.0,1000.0,775.0,2591.0,998.0,811.0,2792.0,993.0,835.0,2948.0
777.677,23.041,3242.79,0.0,0.0,0.0,888.0,23.0,7150.0,73.01215426899824,56.57976068348122,2173.783710468913,0.19861462861462886,-0.027371121371121337,7.5150295350295355,893.0,861.0,7150.0,782.0,0.0,0.0,697.0,16.0,908.0,734.0,2.0,1739.0,738.0,11.0,2567.0,752.0,29.0,3268.0,814.0,13.0,3834.0,833.0,8.0,4679.0,837.0,11.0,5514.0,864.0,6.0,6328.0
